Category,description
abuse,pEACE ORDER
abuse,*PROTECTIVE ORDE
abuse,*PROTECTION ORDE
abuse,*PROTECTIVE ORD
abuse,*PROT ORDER
abuse,PEACE ORDER
abuse,PROTECT ORDER
abuse,PROTECTIVE ORDER
abuse,PROT  ORDER
abuse,PROT ORDER
abuse,PEACE
abuse,PROTECTION
abuse,PROTECTIVE
abuse,PROTECTION ORDER
abuse,*PROTECT ORDER
abuse,*PEACE ORDER
abuse,PEACE ORDERS
abuse,PROTECTIVE ORD
abuse,PEACE  ORDER
abuse,PROTECTED ORDER
abuse,*PROT. ORDER
abuse,SERVE PEACE ORDE
abuse,PROTECTIVE ORDE
abuse,pROTECT ORDER
abuse,*PROTECTIVE
abuse,*PROT ORDERS
abuse,PROT. ORDER
abuse,PROT ORDERS
abuse,PROTECT ORDERS
abuse,PROTECTION ORDE
abuse,*PEACE ORDERS
arson,*ARSON
arson,ARSON
assault,AGGRAV ASSAULT
assault,Aggrav Assault
assault,COMMON ASSAULT
assault,Common Assault
assault,*ASSAULT
assault,ASSAULT
burglary,POSS BURGLARY
burglary,ATTMPT BURGLARY
burglary,BURGLARY
burglary,ATTEMPT BURGLARY
burglary,BURGLARY/POSS
burglary,Burglary
burglary,POSS PROWLER
burglary,Prowler
burglary,*PROWLER
burglary,*POSS BURGLARY
burglary,BURGLARY ATTEMPT
burglary,PROWLER
disorderly conduct,Lying in Street
disorderly conduct,Intoxicated Pers
disorderly conduct,Juv Disturbance
disorderly conduct,Disorderly
disorderly conduct,LOUD MUSIC
disorderly conduct,STREET OBSTRUCT
disorderly conduct,LYING IN STREET
disorderly conduct,JUV DISTURBANCE
disorderly conduct,Street Obstruct
disorderly conduct,*JUV DISTURBANCE
disorderly conduct,DISORDERLY
disorderly conduct,LOUD MUSIC/NOISE
disorderly conduct,ANIMAL CRUELTY
disorderly conduct,INTOXICATED PERS
disorderly conduct,Loud Music
insecurity,ECORT
insecurity,POSS ARMD PERSON
insecurity,ESCOURT
insecurity,WARRANT SERVICE
insecurity,Silent Alarm
insecurity,Destruct Propty
insecurity,Suspicious Pers
insecurity,*POLICE ESCORT
insecurity,Armed Person
insecurity,Search& seizure
insecurity,Subject stop
insecurity,Wanted on Warr
insecurity,Holdup Alarm
insecurity,*SUSPICIOUS VEH
insecurity,WARRANTS
insecurity,Subject Stop
insecurity,*AUDIBLE ALARM
insecurity,*WARRANTS
insecurity,*SUSPICIOUS PERS
insecurity,*ESCORT
insecurity,*WARRANT
insecurity,*ARMED PERSON
insecurity,Audible Alarm
insecurity,Injured Person
insecurity,SILENT ALARM
insecurity,PATROL
insecurity,ESCORT
insecurity,POLICE ESCORT
insecurity,Warrant Service
insecurity,DESTRUCT PROP
insecurity,Escort
insecurity,NEED ESCORT
insecurity,SUSPICIOUS VEH
insecurity,ESCORT NEEDED
insecurity,SEARCH&SEIZURE
insecurity,ARMED PERSON
insecurity,AUDIBLE ALARM
insecurity,INV STOP
insecurity,HOLDUP ALARM
insecurity,INJURED PERSON
insecurity,Foot  Patrol
insecurity,Repairs/Service
insecurity,SUSPICIOUS PERS
insecurity,Field Interview
insecurity,POLICE  ESCORT
insecurity,DESTRUCT PROPTY
insecurity,WANTED ON WARR
insecurity,WARRANT
mental case,Mental Case
mental case,MENTAL CASE
mental case,POSS MENTAL CASE
missing person,Missing Person
missing person,MISSING PERSON
missing person,*MISSING PERSON
other offense,FALSE PRETENSE
other offense,Cutting
other offense,GAMBLING
other offense,ProstitutionComp
other offense,*BY THEAT
other offense,Gambling
other offense,*THREATS
other offense,CUTTING
other offense,BY TYHREAT
other offense,*BY THREATS
other offense,*VERBAL THREAT
other offense,BY THREAT
other offense,PROSTITUTION
other offense,*THREAT
other offense,*BY THREAT
other offense,VERBAL THREATS
other offense,BY  THREATS
other offense,**THREAT**
other offense,BY THREATS
other offense,BYTHREAT
other offense,THREATS
other offense,BY  THREAT
other offense,ASSAULT BY THREA
other offense,THREAT
other offense,BY THEAT
other offense,VERBAL THREAT
other offense,False Pretense
other offense,BY PHONE THREAT
robbery,ROBBERY ARMED
robbery,Robbery Unarmed
robbery,Robbery Armed
robbery,ROBBERY UNARMED
shooting,DISCHRG FIREARM
shooting,GUN
shooting,*GUN
shooting,SHOOTING
shooting,Shooting
shooting,Dischrg Firearm
shooting,HANDGUN VIOLATIO
theft_larceny,BIKE LARCENY
theft_larceny,LARCENY OF TRUST
theft_larceny,LARCENY
theft_larceny,Car Jacking
theft_larceny,CAR JACKING
theft_larceny,POSS LARCENY
theft_larceny,Larceny f/Auto
theft_larceny,POSS AUTO THEFT
theft_larceny,Larceny
theft_larceny,LARCENCY A/TRUST
theft_larceny,LARCENY F/AUTO
theft_larceny,AUTO THEFT
theft_larceny,Auto Theft
theft_larceny,LARCENCY
theft_larceny,Bike Larceny
