,grid,nbh,ratio
0,0,3,1.0
1,1,3,1.0
2,2,3,1.0
3,3,3,1.0
4,4,3,1.0
5,5,3,1.0
6,6,3,1.0
7,7,3,1.0
8,8,3,1.0
9,9,3,1.0
10,10,3,1.0
11,11,3,1.0
12,12,3,1.0
13,14,3,1.0
14,15,3,1.0
15,16,3,1.0
16,17,3,1.0
17,18,3,1.0
18,19,3,1.0
19,20,3,1.0
20,21,3,1.0
21,22,3,1.0
22,23,3,1.0
23,24,3,1.0
24,25,3,1.0
25,26,3,1.0
26,27,3,1.0
27,28,3,1.0
28,29,3,1.0
29,30,3,1.0
30,31,3,1.0
31,32,3,1.0
32,33,3,1.0
33,34,3,1.0
34,35,3,1.0
35,36,3,1.0
36,37,3,1.0
37,38,3,1.0
38,39,3,1.0
39,40,3,1.0
40,41,3,1.0
41,42,3,1.0
42,43,3,1.0
43,44,3,1.0
44,45,3,1.0
45,46,3,1.0
46,47,3,1.0
47,48,3,1.0
48,49,3,1.0
49,50,3,1.0
50,51,3,1.0
51,52,3,1.0
52,53,3,1.0
53,54,3,1.0
54,55,3,1.0
55,56,3,1.0
56,57,3,1.0
57,58,3,1.0
58,59,3,1.0
59,60,3,1.0
60,61,3,1.0
61,62,3,1.0
62,63,3,1.0
63,64,3,1.0
64,65,3,1.0
65,66,3,1.0
66,67,3,1.0
67,68,3,1.0
68,69,3,1.0
69,70,3,1.0
70,71,3,1.0
71,72,3,1.0
72,73,3,1.0
73,74,3,1.0
74,75,3,1.0
75,76,3,1.0
76,77,3,1.0
77,78,3,1.0
78,79,3,1.0
79,80,3,1.0
80,81,3,1.0
81,82,3,1.0
82,83,3,1.0
83,84,3,1.0
84,85,3,1.0
85,86,3,1.0
86,87,3,1.0
87,88,3,1.0
88,89,3,1.0
89,90,3,1.0
90,91,3,1.0
91,92,3,1.0
92,93,3,1.0
93,94,3,1.0
94,95,3,1.0
95,96,3,1.0
96,97,3,1.0
97,98,3,1.0
98,99,3,1.0
99,100,3,1.0
100,101,3,1.0
101,102,3,1.0
102,103,3,1.0
103,104,3,1.0
104,105,3,1.0
105,106,3,1.0
106,107,3,1.0
107,108,3,1.0
108,109,3,1.0
109,111,3,1.0
110,112,3,1.0
111,113,3,1.0
112,114,3,1.0
113,115,3,1.0
114,116,3,1.0
115,117,3,1.0
