period,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[912.2719477979994, 468.11627173284563, 687.3706413012118, 1202.0, 387.20762517822334, 729.4754559988502, 591.5931934890981, 233.25195115134161, 338.02230061657815, 500.6300715299879, 95.69024213999396, 343.69160394858716, 629.3553524704172, 498.4590873522183, 111.65651370036609, 362.83111618760927, 516.7058667238786, 561.629752279081, 709.3697980182907, 411.0835609950141, 413.6849591651338, 379.7364059294317, 1039.1802319565872, 332.6256003611848, 334.46683918438157, 358.24939202289363, 516.8663613628926, 465.2302500325038, 1029.859417900896, 515.2744305068094, 321.32133766562595, 816.4447670282476, 366.442642578709, 349.67162750498284, 128.39258556394657, 802.1519903795717, 290.2962725864468, 710.5407793480014, 523.0576207434186, 437.2221831633793, 496.6835256815653, 280.90913419819674, 748.0950463561763, 324.01038193805596, 258.5748575720582, 579.6144493311931, 1148.021930619717, 285.8718801916387, 704.4289498260517, 384.4068065109019, 601.8708277829195, 216.2932254233329, 592.5052445036433, 865.6296755469319, 577.8068526781401]","[1040.8358513080016, 391.52470693099957, 843.754725361319, 1343.0, 397.0020036111609, 1069.9524554898746, 573.5934232396006, 266.30337196544286, 353.4911949664253, 623.7452469753342, 19.636153221562164, 231.0009024193734, 867.837189152996, 604.9760234605916, 147.46869483210818, 383.6412817379817, 595.0990162572708, 550.3843715618385, 675.7035285193894, 485.171840366165, 600.6646039534214, 375.3595762449465, 1261.9717348517763, 348.7591605896217, 402.71691263297737, 326.918553331376, 484.37025677548826, 458.91114946361625, 957.8008367204847, 546.004261686986, 328.91836394638824, 1022.5377302674457, 452.65948280445286, 369.7096389896489, 168.24995235137018, 632.9207342831282, 409.1023570180319, 848.4990073298609, 523.5797263704806, 470.18681789556507, 702.0540587757587, 274.5049991285756, 745.4539879603757, 173.52233194465873, 394.6294954139693, 748.212453965759, 1234.932859685241, 416.2162265415048, 771.1550604536371, 385.0696803272683, 689.474851540013, 232.51223991139221, 608.3946651067341, 890.5248783445418, 690.5400482275384]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[874.9616242847253, 427.11627173284563, 788.6564788581841, 1195.0, 344.31025007434056, 676.7433160444965, 577.5931934890981, 247.1894629391973, 313.0223006165782, 508.721589994154, 92.69024213999396, 342.69160394858716, 576.0138666534032, 479.70312347966717, 104.77507784980013, 342.8567350086958, 509.7058667238787, 555.6656485634851, 709.8806674155004, 436.3093623764744, 400.5816271032359, 384.63546386217433, 1017.6671001674956, 308.95675649207186, 321.4447513403537, 352.06093749790824, 402.45057554238394, 465.69430275309935, 988.5148706931891, 408.1384009070498, 321.32133766562595, 758.5120557937594, 380.29817813169194, 363.37989847071964, 120.94609888224379, 1120.0626057308634, 351.2269346080573, 687.3274534806125, 517.3567762396757, 430.72528641472957, 507.094116078864, 272.35888447459365, 733.0139044237425, 322.5724598834164, 315.5748575720582, 557.3717209687155, 1130.2041896749022, 256.9545712841901, 713.1792638320408, 337.4068065109019, 611.7894045939566, 295.7487306006353, 584.789606523273, 871.7168023278258, 569.381141684848]","[1030.4090145813232, 379.52343585867584, 918.4364203155993, 1315.0, 392.0020036111609, 1052.3079573241666, 569.5934232396006, 261.6195348971377, 347.48603180520524, 619.672632664213, 18.636153221562164, 228.0009024193734, 826.0864790658525, 602.1974705884942, 144.39240349252023, 383.6412817379817, 589.1123706675397, 487.91978599421145, 683.03831667993, 490.1158811536657, 591.427825463875, 368.4288892111968, 1261.3500306379299, 338.8988270979973, 390.71691263297737, 325.918553331376, 447.1422523803921, 471.8148485292518, 868.8025600064725, 537.8075502525573, 328.91836394638824, 1007.590560722387, 448.48605938273715, 374.9597059656289, 166.55054053014626, 824.851421316878, 453.40817077558324, 840.4990073298609, 522.5797263704806, 467.7352443953881, 700.4282337313316, 272.2039719170653, 745.4539879603757, 174.14833123997215, 417.6294954139693, 722.9676364710078, 1234.7574790768253, 412.8469204991865, 774.7560653238996, 376.0696803272683, 692.0369098554595, 278.0882881975318, 603.7438351365773, 890.4183490544611, 689.6513474506588]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[863.3687405212826, 349.5716258263985, 783.0736658844836, 1164.0, 344.3960797032086, 596.393734207483, 577.4841743769182, 243.47986428065354, 289.0223006165782, 568.0463719482221, 75.1130133409965, 219.090737068734, 673.2811150316649, 482.70312347966717, 103.80025280111315, 331.57961040910726, 502.11532246717707, 527.463125294381, 699.2274861712959, 427.94192769966014, 359.39683406373433, 308.63546386217433, 987.1900635595815, 313.32159671331743, 408.69678139430385, 313.19154769374086, 344.64265415010965, 557.7560565414801, 990.9832209502558, 440.82217459373743, 321.32133766562595, 854.7225557456089, 381.29817813169194, 355.49225318929655, 120.97014077225724, 1206.6281848442022, 345.53497372446526, 681.4239052349702, 520.0438846606173, 451.1766161102958, 513.8498262569519, 273.81950774435694, 727.7988725122159, 365.51070609503495, 317.5748575720582, 631.1060863680658, 1117.1532724072888, 259.0421734150555, 679.445213011181, 237.51582562308172, 604.6630938496413, 278.03896832591045, 588.3289832535097, 871.7168023278258, 564.0915669525444]","[1032.409014581323, 382.52343585867584, 919.4364203155993, 1315.0, 390.8834741986567, 1023.123330630808, 569.5934232396006, 261.6195348971377, 349.48603180520524, 608.672632664213, 18.636153221562164, 228.0009024193734, 847.5992446772377, 602.1974705884942, 144.46996590443192, 334.5825812619947, 586.642224396943, 490.76133458459844, 689.2023247119548, 490.41112533560494, 578.427825463875, 370.4288892111968, 1236.272468226018, 338.8988270979973, 424.51266871843103, 325.918553331376, 448.49167124004515, 490.38943793501966, 845.9871866998312, 538.0117941671035, 328.91836394638824, 1033.5344833784511, 450.48605938273715, 375.9597059656289, 166.55054053014626, 890.3921691029138, 458.0388647332649, 843.4990073298609, 522.5797263704806, 476.7913217393238, 707.4282337313317, 273.2039719170653, 745.4539879603757, 201.57374183420436, 418.6294954139693, 736.7340496801792, 1234.932859685241, 414.2162265415048, 771.5806847154839, 364.0696803272683, 684.0369098554595, 278.0882881975318, 604.7438351365773, 890.266800209686, 667.8040383056098]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[981.8819936417052, 379.57162582639853, 754.8783441069417, 1152.0, 297.9051884578438, 553.9712479269999, 552.1510529879083, 226.11979129895178, 278.02230061657815, 535.1139771375085, 73.51028093665421, 237.6856932007583, 687.3470250460712, 465.70312347966717, 221.33415835272515, 305.94441726432956, 537.5322475646584, 626.8275823431871, 693.8850340000527, 431.9043105015388, 321.1716128633755, 262.19395327902015, 1021.4066089891, 372.2149784016954, 477.30503833778505, 306.6901979723091, 371.8954104451382, 552.7545147293729, 929.4515211601196, 369.8939876248375, 318.32133766562595, 905.8079941718438, 378.29817813169194, 420.979000068874, 115.97014077225724, 1144.5322456251513, 364.10312314971947, 994.1315372585195, 513.938067927556, 461.5432822004125, 538.9228613546559, 271.35888447459365, 720.808784389918, 369.51070609503495, 315.5748575720582, 604.5076908430075, 1106.9769261148822, 241.9545712841902, 670.4440370459491, 187.84894701209163, 628.1618053329407, 270.5129842891213, 576.789606523273, 861.9884888422371, 547.7408523210179]","[1087.40940317672, 355.5234358586758, 878.4364203155992, 1310.0, 389.8834741986567, 1012.123330630808, 565.5934232396007, 260.6195348971377, 341.48603180520524, 602.2207086155532, 17.337915643263468, 235.68212723733524, 867.6867770234053, 594.7477203120973, 154.18785871082304, 334.5825812619947, 578.8721282021146, 599.1178948363302, 687.2023247119548, 493.46393013453536, 509.0447134573483, 362.4288892111968, 1248.3876385191618, 335.8988270979973, 484.51266871843103, 323.918553331376, 456.68601567855245, 490.40011138977286, 846.9871866998312, 526.0117941671035, 327.403223023601, 1071.6583020472754, 448.48605938273715, 383.9593173702318, 164.55054053014626, 873.6874132848528, 464.46568920027875, 837.4990073298609, 520.5797263704806, 492.91042685464043, 706.4282337313316, 269.6537221934622, 741.5070914834232, 211.5630683794511, 425.6294954139693, 730.6816814186274, 1235.7574790768253, 411.44135309362144, 763.7979686805348, 353.02777697063317, 700.0039748269066, 277.0882881975318, 602.7438351365773, 886.1749673911179, 644.9360351709943]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[946.4791366823549, 344.5716258263985, 612.9419675683429, 1116.0, 328.30388399734323, 531.8679840889762, 554.4841743769182, 219.7085461638925, 260.0018848771954, 503.07076941548996, 42.73142554044902, 237.6856932007583, 663.6442737128483, 458.9905269070901, 221.80097904787027, 287.7520295324532, 641.6068706195731, 589.6064377393924, 750.9635237605612, 426.34113804046103, 360.2860197946737, 246.19395327902015, 1116.546332562861, 311.04014574847054, 453.46552430366796, 331.74853057498893, 457.1177150608505, 512.7545147293733, 938.5691316854853, 371.8939876248375, 318.32133766562595, 850.9727264000018, 375.29817813169194, 477.5426387834183, 107.8451498454459, 1155.9434907602106, 362.66629561079725, 976.3875289808984, 518.5674902592781, 460.8166846425127, 531.9228613546558, 265.35888447459365, 706.0971695607761, 370.51070609503495, 311.46671681698933, 576.2899803942652, 1117.7652081778715, 231.87608152368162, 664.7960272245954, 281.51582562308175, 600.4188060616428, 270.0311708511465, 578.789606523273, 840.3356034189252, 537.2922611042773]","[1077.8854832297473, 306.04735580564864, 878.4364203155992, 1310.0, 404.030519765051, 1012.123330630808, 564.5934232396007, 279.61953489713767, 341.48603180520524, 602.6726326642131, 17.337915643263468, 235.68212723733524, 866.6867770234053, 594.7477203120973, 154.18785871082304, 334.5825812619947, 632.1277835055134, 594.1266888524165, 714.5876003925456, 467.8523810943374, 546.2839340760473, 361.4288892111968, 1253.8927625970641, 335.39081464764064, 359.6759714475904, 329.01054479156255, 438.68601567855245, 489.40011138977286, 852.9871866998312, 505.35650388830084, 328.91836394638824, 1070.2730263666845, 448.48605938273715, 395.6984418148235, 164.55054053014626, 900.298962325051, 463.46568920027875, 822.2599703032799, 523.5797263704806, 492.91042685464043, 706.4194397152453, 269.6537221934622, 741.5070914834232, 211.5630683794511, 425.6294954139693, 729.6816814186274, 1235.7574790768253, 411.44135309362144, 771.0588442359432, 400.02777697063317, 700.0369098554595, 277.0882881975318, 602.7438351365773, 886.1749673911179, 641.9360351709943]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[863.2471442993865, 333.3612481553936, 598.435366156469, 1287.0, 329.30388399734323, 675.5278325509902, 544.1510529879083, 208.05405074438391, 254.64849337092795, 508.68246680592483, 42.73142554044902, 237.6856932007583, 666.443086528353, 454.8523266874552, 220.2433491018436, 283.75202953245326, 640.6068706195731, 590.8910644551938, 750.2863945742585, 390.62474910690696, 359.899126804747, 228.19395327902015, 1091.9944942336172, 293.76459201232825, 442.27015610696503, 325.20248172305384, 393.3189022453459, 499.89271494900834, 946.7683726444842, 365.8234307863154, 315.0010768582121, 839.4604699751068, 369.25959373460483, 521.921596671672, 107.8451498454459, 1134.1752244619502, 347.66629561079725, 972.7644971830837, 517.736570909028, 458.45611931642384, 526.0924007350932, 248.65372219346213, 759.0359008799464, 292.51070609503506, 306.46671681698933, 536.193944731798, 1110.45450189928, 213.89376188275963, 660.5520000775471, 340.02472254947776, 615.796420781369, 271.0311708511465, 550.5436731768808, 826.4450766885022, 553.6306035285085]","[1076.8854832297473, 306.04735580564864, 878.4364203155992, 1355.0, 404.030519765051, 1071.0048226882673, 564.5934232396007, 279.61953489713767, 340.48603180520524, 608.672632664213, 17.337915643263468, 234.68212723733524, 865.6867770234053, 557.7477203120973, 154.18785871082304, 333.47118813602935, 632.1277835055134, 593.1266888524165, 713.2023247119548, 468.4588828810997, 544.2839340760473, 361.400085073248, 1255.5699724917638, 272.39171206481524, 436.2045793454044, 329.01054479156255, 437.68601567855245, 482.40011138977286, 863.104797225197, 505.82789599048687, 328.91836394638824, 1089.687106185224, 448.48605938273715, 425.6984418148235, 164.55054053014626, 910.6924605382885, 463.46568920027875, 822.2599703032799, 523.5797263704806, 492.91042685464043, 706.4194397152453, 269.6537221934622, 764.7055468845082, 211.5630683794511, 425.6294954139693, 692.6816814186274, 1215.8818137810406, 411.44135309362144, 761.0588442359432, 447.02777697063317, 690.274347165733, 264.9532149347848, 602.7438351365773, 884.1749673911179, 642.9360351709943]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[852.2591230787281, 327.3612481553936, 641.66553335347, 1281.0, 320.4070924652694, 650.0531894207072, 473.1510529879083, 204.05405074438391, 233.65417377201507, 510.476037011417, 74.51904440472805, 230.16823245899985, 636.0577533286512, 400.79804662074093, 318.45745022446556, 271.28287161439994, 637.6068706195731, 614.8769377500496, 749.8248163844308, 378.4788563272458, 424.0128772029402, 224.19395327902015, 1076.2466519085121, 271.3927864312133, 490.7857805983042, 324.20248172305384, 386.59149158985224, 540.7297779310422, 941.6148213558821, 351.3078062949762, 315.0010768582121, 831.0733618608128, 367.0267356498637, 495.92159667167175, 102.86824668852488, 1035.335006059856, 339.66629561079736, 903.7350793795031, 517.736570909028, 453.5776101211527, 545.1762161898479, 280.0045508743521, 759.1683528508946, 288.3469952760581, 401.46671681698933, 591.52513378758, 1080.0344023169698, 205.1442550369756, 650.3614101120504, 330.02472254947776, 558.7564965338961, 262.3971203012736, 583.6228670417037, 823.3233579339143, 542.6705277759813]","[1078.8854832297473, 307.04735580564864, 902.4160045762164, 1356.0, 404.030519765051, 997.0048226882674, 567.5934232396007, 282.6195348971377, 292.01129606018293, 611.672632664213, 30.3471905113976, 235.68212723733524, 867.6867770234053, 560.7477203120973, 154.18785871082304, 333.47118813602935, 635.1277835055134, 609.8660461754968, 713.2023247119548, 470.4588828810997, 589.2839340760472, 364.4288892111968, 1261.62500175, 274.39171206481524, 443.2045793454044, 329.01054479156255, 442.68601567855245, 503.40011138977286, 864.104797225197, 511.82789599048687, 328.91836394638824, 1045.6569269744703, 448.48605938273715, 392.6984418148235, 166.55054053014626, 913.6924605382886, 467.46568920027875, 817.8097596295962, 523.5797263704806, 485.91180192744577, 727.6708075240309, 275.35888447459365, 768.6505176262721, 211.5630683794511, 441.5748575720582, 722.6816814186274, 1217.0571943894563, 412.44135309362144, 743.6974764178118, 366.2137641803488, 687.274347165733, 267.9532149347848, 614.9897684829695, 876.4892468070283, 599.6250894657226]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[852.8512120504486, 331.3612481553936, 688.8485956345371, 1278.0, 308.4423120830945, 669.7676043406137, 478.1510529879083, 198.4892166945513, 212.65417377201507, 508.00291786383553, 76.01819276004842, 334.24242078070216, 658.697235157586, 394.64965351698305, 319.45745022446556, 277.7161664261741, 627.1158229073369, 580.7457107784555, 750.8897402194057, 381.9402585283072, 428.8591949060312, 222.0893846949782, 1092.3239906490278, 298.35453723593076, 665.2701561069649, 322.00067399171587, 395.00835098038584, 541.5484069426454, 785.0435814668168, 312.6297801646156, 316.5448042599839, 778.6368427925024, 356.6174559430445, 483.31752892060985, 88.5494582055036, 1028.3609379794452, 290.3167630665122, 908.7350793795031, 481.46986421076673, 435.3055175817561, 526.917519401407, 282.3358567786142, 755.0910141103792, 287.3469952760581, 401.46671681698933, 582.5081702253227, 1083.1989425630102, 207.51125532133707, 619.2088486453517, 306.02472254947776, 561.755475977766, 268.5561662312523, 572.6228670417037, 811.1862588223859, 536.61192787728]","[1078.6866634073126, 311.2577334766535, 926.2429035325325, 1361.0, 407.030519765051, 1010.6422375407307, 571.5934232396006, 285.6195348971377, 298.01097368215125, 614.672632664213, 32.3471905113976, 188.9999926021283, 841.1054593322109, 481.8176293044229, 158.18785871082304, 334.47118813602935, 633.081638456977, 616.8660461754968, 712.8352863746956, 475.4588828810997, 585.2176368263879, 341.2007772135159, 1217.2664268456929, 270.6444957225009, 509.1904494055872, 329.01054479156255, 347.18353702603633, 480.461257599021, 881.2287286548653, 524.8278959904869, 328.91836394638824, 1016.0253403845348, 452.65948280445286, 394.53949286029564, 169.55054053014626, 921.9205725359695, 474.6908157523954, 828.8097596295962, 525.5797263704806, 478.9767241042998, 731.5756604750744, 277.35888447459365, 761.3499368288271, 209.501922170203, 410.5748575720582, 713.4178926686878, 1208.9424236976722, 405.2162265415048, 750.8448675237696, 381.2137641803488, 676.274347165733, 270.9532149347848, 614.9152378440048, 857.4892468070283, 601.6250894657226]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[843.0548384651865, 322.3612481553936, 656.041708817825, 1288.0, 306.8756068948686, 827.4146412763326, 482.1510529879083, 178.8854290516749, 243.1025955408433, 527.6718253331197, 77.01819276004842, 327.3258444662051, 661.7509640173087, 446.35565600014377, 320.45745022446556, 271.28287161439994, 631.1408894136886, 623.9189732219032, 739.4488378835865, 354.62270969916824, 430.8436266058224, 211.06029050471577, 1063.6119839187832, 445.7136471738885, 669.2701561069649, 324.946471096598, 338.23110346111736, 533.4739892596581, 792.589012824312, 290.07680848620237, 320.8527399637061, 711.1054430182625, 349.7104762655144, 488.76279549497025, 84.6958577347372, 923.9478528776518, 249.33289137907053, 912.7350793795031, 482.46986421076673, 438.4523076858656, 546.0390293338506, 277.8047531801614, 812.0832495443368, 301.3469952760581, 391.5209197121073, 567.6820015926859, 1102.905677410056, 184.26974071901824, 619.7205132363414, 308.0247225494778, 544.0899791169064, 192.33575830917604, 575.6281476588065, 810.7564122705337, 547.1841253759197]","[1071.113500133991, 312.25900454897726, 935.7380718752003, 1347.0, 407.030519765051, 1102.4654227053804, 572.5934232396006, 285.6195348971377, 298.6191602128417, 614.7493854584533, 32.3471905113976, 190.9999926021283, 834.5650789056439, 519.8176293044228, 159.1865876384993, 335.47118813602935, 634.081638456977, 617.4357267331637, 713.8352863746956, 475.4588828810997, 585.2176368263879, 342.2007772135159, 1148.9578000226447, 279.6444957225009, 421.6618415077732, 329.01054479156255, 349.0544164062852, 482.461257599021, 891.3021886168576, 524.3565038883008, 328.93462532168115, 1022.0239653117295, 452.65948280445286, 395.1126561336172, 171.62952949425218, 923.9205725359695, 477.6908157523954, 821.8558635738592, 525.3269670341068, 478.97809917710515, 728.2470790230925, 277.35888447459365, 796.499404823925, 223.501922170203, 411.78151296416894, 673.7673056452148, 1210.1015825256222, 405.2162265415048, 695.6520549437191, 380.4065767603994, 686.1813329961999, 272.9532149347848, 614.9152378440048, 861.4892468070283, 604.6250894657226]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[878.9133519574694, 307.5815452448171, 716.011568213728, 1264.0, 301.87560689486867, 742.6631069470411, 564.5823616318188, 174.84915405627305, 229.74920403457594, 593.7173768372107, 85.69134504097168, 274.89844158786156, 598.4853294166589, 474.88649774695176, 379.7142930753124, 247.4561369875867, 621.1408894136886, 639.1005149830477, 745.0234611177061, 346.1360401682978, 410.40591439919956, 244.82259224487552, 1030.6276661914226, 445.7136471738885, 642.7503453297273, 303.8354241989847, 329.65659946319875, 472.6498101028037, 790.589012824312, 288.72229895030955, 322.9541720389214, 772.3431160828992, 373.79252272685375, 482.76279549497025, 79.34633527607873, 886.4916067228304, 332.93388787610473, 907.7350793795031, 477.58091110837995, 439.89880804923814, 536.8086508964013, 277.8047531801614, 793.8282700779946, 242.17117443291303, 390.5209197121073, 520.3860217220065, 1086.3259587234334, 188.8655855207488, 581.4838409241987, 304.59341390556733, 553.4522989657302, 159.16390423888572, 575.6281476588065, 809.858820403952, 546.1841253759197]","[1084.3520751708686, 311.25900454897726, 965.6392165375682, 1347.0, 407.030519765051, 1075.1606056154242, 600.6192185408086, 287.6195348971377, 298.6191602128417, 641.1841464777008, 39.54688606122327, 190.9999926021283, 830.5078458178549, 532.4509606595375, 179.94801260162154, 335.47118813602935, 634.081638456977, 554.5992390617521, 727.8352863746956, 475.4588828810997, 587.3133817617454, 401.2740929643512, 1161.4595773021558, 279.6444957225009, 510.59056775193363, 329.01054479156255, 346.2358436923961, 482.461257599021, 887.2711000251982, 527.4277776441404, 327.93462532168115, 1064.9506495608941, 452.65948280445286, 392.1126561336172, 171.62952949425218, 889.9205725359694, 478.20590702174803, 813.3993405600512, 524.7834900479148, 477.08249994755874, 698.5114764085278, 277.35888447459365, 807.6573678449554, 223.501922170203, 411.78151296416894, 656.8153604772327, 1197.4418422250808, 406.7011352721521, 695.6520549437191, 313.38078145919144, 690.4432817890633, 272.9532149347848, 614.9152378440048, 843.5916549404466, 597.6250894657226]"
