,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[209.7333098187144, 72.44725775523045, 76.56275152551407, 678.0, 70.74471081652098, 114.36925284062552, 247.83719729573917, 25.479730982360387, 51.80894964712609, 92.28441339286461, 19.116778763131844, 103.0, 79.23906619031887, 247.00405246240706, 7.266979027764197, 126.69338999486077, 122.3151284956243, 91.71095186919861, 358.4687237045786, 191.54512662012323, 106.05805511887066, 77.07182361517397, 481.0237120105382, 44.200230631583004, 24.0, 206.15123366154072, 101.2711786438, 222.32097559493357, 378.43051652779144, 37.49977918590085, 296.56983553364546, 113.86621426031171, 104.80687112927748, 85.0, 15.279036698711696, 180.16364115972218, 16.0, 179.2972650759083, 441.0778363249791, 243.2168254562584, 169.60466852513315, 207.9801304081852, 407.54509675610046, 121.96505973955826, 101.0, 130.6079152822538, 724.748811930949, 75.15805158943547, 451.54894028317324, 24.16280270426082, 185.33422971884673, 83.31928782833998, 400.7291329709251, 566.6704017397387, 328.2963479343116]","[337.4400775015281, 29.750082388538342, 86.88513117485138, 861.0, 32.78966370352265, 116.74477734090618, 178.83719729573917, 3.2238236060437426, 41.10331729463802, 277.8565602432639, 0.0, 33.0, 101.57468234820448, 225.4793362325443, 40.79017170539257, 63.01041434993873, 218.34758547862643, 23.06667972473819, 514.0772241434294, 53.41833257681014, 133.34631116487262, 22.0, 446.4506200903398, 22.275235828559104, 0.0, 224.54698154575777, 41.0, 231.21592367237892, 289.6328128597022, 77.0, 297.9262292610674, 116.22486062680058, 284.0058230588136, 79.0, 0.0, 71.62797366341977, 11.0, 226.01140659928794, 458.1074774803753, 313.19814221803824, 312.10393788041415, 207.43865119527698, 517.3043848033946, 35.92132477773573, 87.0, 284.6869786119462, 977.9569531135278, 111.1142055570432, 529.8624603119325, 50.16280270426082, 280.8609259156246, 45.49357974317923, 469.3814342351522, 677.4574501796008, 438.69359630016856]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[161.9064618403739, 66.44725775523045, 90.56370160439954, 673.0, 44.800390398803636, 104.13024724843315, 229.83719729573917, 25.7828193278057, 47.80799956824061, 119.14850901510151, 19.116778763131844, 99.0, 62.510244834118865, 236.54548731155026, 5.185425681914477, 104.90785274033856, 115.3151284956243, 89.71064797860856, 377.8234952195622, 185.5348851298608, 97.62134712230545, 74.09164260123138, 449.0237120105382, 37.374528644476115, 24.0, 201.01756778827382, 54.0, 245.1148915141958, 339.49522410709073, 19.499779185900852, 292.2266745688966, 122.50807932204795, 94.14780120791954, 129.0, 11.279036698711696, 341.9725296890399, 26.28538143081503, 165.40438548210966, 442.64487467028385, 232.0897066633338, 229.60714171191174, 186.71203512156166, 404.2455619631206, 102.35191590168927, 109.0, 95.29609043651793, 650.2302728208527, 68.75111578806248, 440.8617169673056, 22.16280270426082, 148.18623601375523, 92.24157721279185, 424.9042811926912, 583.2542520956691, 309.0621097181422]","[321.41011276993794, 29.750082388538342, 75.88513117485138, 835.0, 29.88719632392904, 109.1927313314339, 169.83719729573917, 3.050538298665502, 37.84702867737843, 306.31650819811045, 0.0, 32.0, 41.57468234820449, 220.68842775506306, 40.448852438205364, 25.928786458880058, 212.10241275939626, 21.210831753459313, 534.9734879396299, 47.688823925662255, 129.70460823201577, 19.0, 452.3374957424268, 22.249503019613222, 0.0, 218.54698154575777, 34.0, 242.0302044165403, 262.6328128597022, 71.0, 296.9262292610674, 113.28876828105264, 282.56972853491095, 97.0, 0.0, 81.5307676219459, 11.0, 214.84547403496572, 458.1074774803753, 310.19814221803824, 314.77643544283956, 194.3334327797098, 510.2016188036435, 40.30818093986674, 100.0, 249.55530183458498, 947.3060887733877, 108.1142055570432, 533.9186484469642, 46.16280270426082, 277.57262788938874, 48.935620244311266, 474.4830253644208, 682.6168178260115, 427.51751650231466]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[159.92753670296966, 56.44725775523046, 97.56275152551406, 647.0, 40.800390398803636, 87.13024724843315, 187.0, 24.60214277046318, 44.83300766326338, 190.74271010325342, 6.8476302219421505, 31.0, 177.5102448341189, 205.83726323252634, 5.185425681914477, 94.91300345038998, 114.3151284956243, 66.97979651979824, 368.8948636987227, 187.53490243594854, 95.62134712230545, 64.09164746965709, 428.204225033563, 38.374528644476115, 55.0, 172.01756778827382, 56.0, 262.32791257415033, 341.49522410709073, 21.499779185900852, 289.6799392773289, 168.75580937600185, 95.14780120791954, 115.0, 12.279036698711696, 369.15320137795675, 27.2853641247273, 162.16098288272656, 438.86421925352965, 232.0886271263282, 265.6071417119117, 189.742798236652, 364.00953459936494, 93.13889484173474, 113.0, 223.83142706259463, 615.2339491838976, 60.67974730890187, 390.8617169673056, 13.0, 144.83858993004287, 38.9910754155723, 424.1066880870349, 580.9230223338064, 286.46790862999035]","[325.41011276993794, 29.750082388538342, 76.88513117485138, 827.0, 29.88719632392904, 99.4791448756664, 168.0, 2.86986174132298, 37.84702867737843, 282.2850576959762, 0.0, 33.0, 139.34149843159256, 221.98020367603914, 40.448852438205364, 25.928786458880058, 187.33559667600824, 22.07802825315407, 535.9734879396299, 51.41833257681014, 126.5068284616541, 19.0, 417.53527551278853, 22.249503019613222, 0.0, 220.54698154575777, 36.0, 242.84796200457765, 255.34639931546968, 33.0, 295.9262292610674, 118.2022057364455, 286.56972853491095, 96.0, 0.0, 80.98193552814054, 11.0, 217.84547403496572, 458.1074774803753, 303.02446492913054, 331.9092389431448, 200.36544668776548, 511.2016188036435, 41.49042335182939, 100.0, 292.64186437919216, 953.2740748653321, 109.1142055570432, 529.9186484469641, 9.0, 260.7777147081839, 48.935620244311266, 475.48302536442077, 688.3388474191397, 404.5240562766239]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[237.09373556967526, 43.60303627252084, 84.56370160439954, 650.0, 30.129036518385437, 76.1560339867385, 155.0, 16.798833610918713, 44.8320575843779, 133.84164971755516, 6.8476302219421505, 28.0, 107.89514254027891, 170.20419960938318, 11.185425681914477, 88.8154708299836, 96.97333279289172, 118.97979651979826, 326.6415900678239, 208.96645263416102, 87.72849084728534, 21.075371050494383, 410.45023796944577, 30.451072394144443, 62.0, 172.01756778827382, 51.614990227415745, 272.29485106214236, 318.39289361911705, 14.0, 286.0509830963988, 232.74661015363455, 80.15025828650901, 117.02887222177417, 10.836454093970278, 336.49560086011553, 36.145605498487825, 295.0019167120899, 438.792171924991, 198.25548249703334, 297.38935720362537, 175.742798236652, 353.4938962222457, 101.30120561680826, 158.0, 214.46769766200183, 560.3987379552466, 58.390104071886924, 377.86171696730554, 10.0, 175.67073851397754, 35.9910754155723, 419.8137497222784, 584.7048923565532, 299.27207622604266]","[347.41011276993794, 29.108981380116933, 70.88513117485138, 826.0, 29.88719632392904, 94.50858702199012, 165.0, 1.86986174132298, 36.84702867737843, 256.2850576959762, 0.0, 32.0, 133.34149843159256, 215.1808743821852, 40.08995344662677, 24.928786458880058, 188.852871221589, 21.210831753459313, 534.9734879396299, 52.68882392566225, 122.30806180500251, 17.0, 398.21676762385937, 22.249503019613222, 0.0, 216.95102056457563, 32.0, 248.2694067402413, 280.31695716914595, 31.0, 293.9262292610674, 156.33627474013352, 280.56972853491095, 93.0, 0.0, 79.71144417928842, 10.0, 229.44143501614786, 459.1074774803753, 302.11798632221473, 327.77643544283956, 193.16477598161939, 473.2016188036435, 50.1030184122799, 134.0, 289.41427398241996, 950.2740748653321, 107.1142055570432, 518.8846086508499, 9.0, 282.77771470818385, 46.935620244311266, 475.4830253644208, 676.3388474191397, 397.5240562766239]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[217.17408417598202, 37.60303627252084, 51.04466361645563, 605.0, 66.18760931890539, 68.16265973971106, 150.0, 39.84389108654463, 43.35109557232182, 152.64269746089002, 2.875905246576766, 28.0, 106.8971398466296, 157.45639842126232, 11.185425681914477, 26.7983235952958, 97.26539963333094, 108.95152149516363, 368.2510890291447, 204.96645263416102, 86.93106291588764, 21.075371050494383, 433.87265347209336, 19.601280768218736, 63.0, 186.77807739303069, 59.614990227415745, 249.2948510621423, 321.23605949207024, 14.0, 289.45724300527485, 221.80914480536632, 63.11469438847675, 179.1644979516978, 10.836454093970278, 395.4505433844896, 34.145605498487825, 301.1665145123324, 435.71625737610395, 182.25548249703334, 279.38935720362537, 163.06241045654275, 326.57684181055663, 101.30120561680826, 157.0, 181.8373146454967, 619.2400400340543, 52.1634527199835, 367.48482833237665, 18.0, 167.90894896004923, 33.9910754155723, 422.17016137063854, 561.2029490701361, 306.0621097181422]","[346.25433425264754, 27.264759897407316, 70.88513117485138, 824.0, 42.88719632392903, 94.50858702199012, 164.0, 13.626871059586668, 36.84702867737843, 250.56009071102642, 0.0, 32.0, 133.34149843159256, 221.87432602842009, 40.08995344662677, 24.928786458880058, 193.60373859339185, 21.210831753459313, 564.9734879396299, 35.27012984627365, 124.23868654427046, 17.0, 384.53527551278853, 22.249503019613222, 0.0, 194.79085009364064, 14.0, 247.2694067402413, 311.31695716914595, 0.0, 299.0213066800271, 149.33627474013352, 278.56972853491095, 112.0, 0.0, 96.37312894041335, 7.0, 217.60160548708285, 459.1074774803753, 302.11798632221473, 325.77643544283956, 194.1327620735637, 468.2016188036435, 50.1030184122799, 134.0, 289.41427398241996, 960.328237112305, 107.1142055570432, 517.8624603119325, 9.0, 283.77771470818385, 46.935620244311266, 487.85243319086044, 673.3203841593271, 390.0694932259569]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[169.69429776954655, 36.08282267895629, 50.80664627633693, 708.0, 68.62920944009237, 57.91590859518248, 132.0, 44.64720024608908, 28.717394967614197, 162.44398423157105, 2.875905246576766, 28.0, 101.8971398466296, 156.45639842126232, 17.185425681914477, 26.7983235952958, 102.26539963333094, 112.95152149516363, 378.0364711023606, 157.46640914902318, 86.93106291588764, 20.075371050494383, 388.6921404490686, 30.653574877026053, 75.0, 158.41479130129196, 34.614990227415745, 246.17782758996654, 345.43051652779144, 11.499779185900852, 277.43745045346753, 298.0232945806506, 45.49573786675316, 214.12239819222975, 11.279036698711696, 422.943197169288, 34.84990685338196, 281.9599184277105, 434.47417180645164, 182.56034945133894, 280.6071417119117, 147.02493364813367, 332.4240627393673, 93.418229088984, 151.0, 164.1774156839688, 625.704852606584, 52.78240924170709, 352.52692809184475, 66.0, 239.65276743855978, 36.9910754155723, 415.076117700732, 544.8980821158306, 352.7718453904152]","[346.25433425264754, 27.264759897407316, 70.88513117485138, 878.0, 42.88719632392903, 104.47914487566642, 164.0, 13.626871059586668, 36.84702867737843, 261.0288591629926, 0.0, 32.0, 133.34149843159256, 152.96814372839555, 40.08995344662677, 9.689905329576378, 191.60373859339185, 21.210831753459313, 556.8761271439173, 50.30128533119943, 124.23868654427046, 17.0, 384.53527551278853, 22.249503019613222, 0.0, 194.79085009364064, 14.0, 237.21298554510133, 318.3463993154697, 0.0, 298.0213066800271, 157.48796438426024, 278.56972853491095, 143.9632111188804, 0.0, 105.00396031373445, 7.0, 216.60160548708285, 459.1074774803753, 302.11798632221473, 324.77643544283956, 189.09536556872823, 481.1147906672214, 50.1030184122799, 134.0, 271.41427398242, 881.328237112305, 114.45221869879632, 501.899249193052, 9.0, 324.0839170698267, 18.175122647570195, 485.93964202473546, 614.8148416382327, 420.6699336580923]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[157.81363520848626, 25.082822678956294, 102.34334541732815, 726.0, 64.18760931890539, 56.067551466845174, 91.0, 35.84389108654463, 15.463861645650972, 185.8442035982368, 2.875905246576766, 27.0, 96.80576988778152, 104.12701078529747, 14.066088242974779, 26.7983235952958, 89.97333279289172, 216.53311434157095, 349.2714260045773, 140.85990736226083, 119.00959275111245, 18.023154729876786, 441.3105608575051, 21.525326334533336, 77.0, 150.25028819453203, 27.614990227415745, 264.47044696219336, 308.40712219862144, 10.0, 275.43745045346753, 283.8903311046939, 44.48778322994329, 209.12239819222975, 35.08313742028607, 393.60191527666797, 30.15299519882728, 231.28285583662927, 430.65333159675527, 137.2281930699195, 265.8561930400528, 166.77295821411778, 356.00399534466436, 76.81954298488323, 151.0, 199.6340407466941, 738.7048526065842, 50.68837245225696, 386.93393973577633, 59.0, 208.48337802006716, 28.991075415572297, 381.3550040366402, 531.4281051635538, 366.3880490209721]","[346.25433425264754, 27.264759897407316, 96.88513117485137, 875.0, 43.88719632392903, 70.63078774732911, 165.0, 13.626871059586668, 35.84702867737843, 270.75919279340667, 0.0, 32.0, 132.52241282476794, 144.49613732096552, 40.08995344662677, 10.689905329576378, 196.60373859339185, 52.42639455512813, 551.7015513416443, 50.30128533119943, 145.87342491136891, 18.0, 431.51082471357915, 22.121254477120505, 0.0, 195.10361776287942, 14.0, 259.87601357222053, 318.3230049862997, 0.0, 298.0213066800271, 158.4879643842602, 268.4791122252274, 131.9632111188804, 6.7842394380991085, 108.00396031373445, 8.0, 215.027848700628, 455.3684665975913, 295.7348671571271, 314.77673933342965, 204.0491951869952, 491.4707549228929, 49.1030184122799, 116.0, 283.23325345888657, 943.328237112305, 115.45221869879632, 471.93328898916616, 3.0, 309.1067302118479, 19.1751226475702, 487.15422805567255, 608.9671242722752, 415.03825583003845]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[164.42387043089144, 35.08282267895629, 188.34334541732815, 712.0, 54.775641484216656, 88.64824844735348, 94.0, 24.470849913309017, 14.463861645650972, 189.27375026410334, 2.875905246576766, 49.840017006705764, 184.86924848790213, 97.92606540005674, 27.06608824297478, 22.680354813508405, 88.13331578618597, 192.54617845738613, 438.68948184893674, 133.30594747873434, 117.61775174187659, 22.81297822138644, 471.3105608575051, 38.76011294922496, 108.0, 148.9477253074486, 33.614990227415745, 260.47044696219336, 294.59163860342153, 10.0, 280.6640629837609, 257.4386739630918, 63.9681051798311, 207.10107635698438, 19.628061801733935, 314.0014679323867, 27.849906853381967, 243.25310493299705, 405.1356279048986, 134.2275316031532, 227.99759139724463, 168.77295821411778, 342.48840558875634, 77.81954298488323, 152.0, 199.7665407626375, 739.0104857359046, 60.60626513827009, 386.0393932192962, 64.0, 203.94259408934184, 32.9910754155723, 363.4725886373023, 523.4376386912965, 380.44133561330733]","[344.91301498546034, 27.905860905828725, 105.88513117485137, 868.0, 46.88719632392903, 84.85687792149346, 169.0, 13.747311063951395, 36.84702867737843, 275.4791957404926, 0.0, 0.0, 196.44806614795073, 133.08343233561558, 41.79017170539257, 13.904531778675734, 202.06906529935767, 55.42659231536021, 525.7925220468148, 54.30128533119943, 133.6854030437865, 0.0, 441.51082471357915, 27.281807354400215, 0.0, 195.47207048686522, 0.0, 236.5658019111182, 322.9363619348556, 0.0, 299.463867672367, 156.7490995589832, 276.2167747328233, 132.9632111188804, 6.7842394380991085, 110.88352030936971, 11.0, 216.65939597664226, 455.3684665975913, 295.4575623187437, 316.7394350347739, 204.36040899361524, 488.4707549228929, 41.71616225014889, 102.0, 280.3270980065451, 945.328237112305, 96.62358548602984, 481.93328898916616, 4.0, 242.15470692409485, 21.960272329019304, 489.15422805567255, 586.5852151084225, 429.82992629746053]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[160.81363520848626, 35.08282267895629, 247.34334541732815, 699.0, 48.31953293265549, 173.61312146947438, 94.0, 24.167761567863707, 16.72237531422148, 247.8875033344404, 2.875905246576766, 40.840017006705764, 192.81842404284762, 163.31192639316194, 27.06608824297478, 22.680354813508405, 92.13331578618597, 214.16192830370073, 407.3342047505941, 135.3762773455837, 118.20068403072833, 16.0, 424.7276653090475, 72.16860859792948, 116.0, 149.4939953435295, 23.614990227415745, 225.65685484557025, 308.9597562640256, 7.0, 284.07115153637375, 249.74918358066117, 62.67794392015452, 205.03334243321538, 22.628061801733935, 228.332586063184, 19.56452542256694, 254.14843501810319, 399.43603781439134, 144.33287533634075, 293.20399227847116, 168.5298406061091, 387.43524015513935, 101.62696905229996, 118.0, 209.99521448015082, 740.6207209583097, 55.606265138270096, 364.22555955082925, 69.0, 182.2632702475753, 18.0, 373.289942153983, 535.930959320471, 401.44133561330733]","[338.28429898423764, 27.905860905828725, 165.88513117485135, 846.0, 46.88719632392903, 95.72113242908424, 174.0, 13.747311063951395, 36.84702867737843, 305.7080880989497, 0.0, 0.0, 141.25684056878916, 179.08343233561556, 41.79017170539257, 16.904531778675736, 207.06906529935767, 57.31052611052846, 527.7925220468148, 55.30128533119943, 133.57227869587356, 0.0, 374.39678065869055, 32.41005589689293, 0.0, 196.47207048686522, 0.0, 239.3169044217088, 329.9438588847721, 0.0, 296.98630649422563, 159.7490995589832, 277.64201911727986, 132.2948025459048, 7.784239438099109, 113.88352030936971, 12.0, 215.01861577444748, 445.55519002377474, 296.4575623187437, 315.6743163388908, 205.36040899361524, 508.6979233256945, 62.96505973955828, 102.0, 235.69950848642145, 941.9569531135278, 97.62358548602984, 418.6016975621417, 4.0, 248.15470692409485, 21.960272329019304, 490.15422805567255, 600.5852151084226, 437.11963945555055]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[156.6464272531437, 31.082822678956294, 279.9104724109249, 686.0, 45.49611028344939, 188.89765246584963, 91.0, 54.76923534325481, 15.722375314221482, 216.97663325569724, 4.086813575545929, 21.840017006705764, 110.86924848790207, 192.3037304757944, 33.368126797608724, 22.680354813508405, 84.13331578618597, 247.78872758563045, 458.308812189843, 132.34378198162872, 87.17956346163106, 17.407731300010695, 445.99499440146155, 70.16860859792948, 145.88723570753814, 144.0634541190674, 22.614990227415745, 211.86162099024943, 321.6752252676503, 7.112764292461869, 284.9111895902972, 225.26914148390725, 55.663718731447034, 197.72801212637597, 19.628061801733935, 221.09876078261806, 31.564525422566945, 241.41217110363385, 389.08757330022985, 129.46783037037818, 265.3662846675723, 177.8365597931151, 365.762166906414, 96.49612267741347, 113.0, 199.18546796996196, 695.1791711720122, 51.156900411636066, 348.5878213373269, 63.0, 178.2632702475753, 7.0, 379.10938662038876, 526.2570547377234, 398.302564605395]","[338.28429898423764, 29.905860905828725, 187.88513117485135, 843.0, 46.88719632392903, 107.37914229590213, 174.0, 24.139745432816422, 36.84702867737843, 311.3602137236392, 0.0, 0.0, 142.25684056878916, 194.6837024321378, 41.79017170539257, 16.904531778675736, 207.06906529935767, 96.31052611052847, 562.7925220468148, 55.30128533119943, 113.34230918365895, 0.0, 401.39678065869055, 33.02067964719684, 0.0, 196.47207048686522, 0.0, 239.3169044217088, 339.6752252676503, 0.0, 297.1251338058332, 160.74909955898318, 243.9076960275479, 132.2948025459048, 7.784239438099109, 132.49108594050466, 12.0, 208.40017171478533, 440.55453398916495, 294.1565847778265, 279.1495919395121, 211.3604089936152, 494.24067829116206, 62.96505973955828, 103.0, 223.22423288580012, 902.9569531135278, 98.62358548602984, 418.6016975621417, 0.0, 248.6434177436568, 22.960272329019304, 496.13119878744357, 587.5550932648955, 425.7078928405479]"
