period,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[245.38126998070464, 139.35097270158565, 192.64854345465352, 462.37808140272415, 44.21489758642716, 300.0917423303356, 160.45382420074378, 59.28397018464352, 148.98453706630735, 170.32925253372994, 80.20469183778536, 21.634300217124, 193.72608787504223, 104.38596187837727, 7.236338068129545, 69.29261096510292, 234.89737210810105, 171.92305647450334, 220.18692535675217, 94.20383412202123, 174.87558901905317, 42.61507500677462, 217.41605132328434, 82.76618703790427, 302.52732521076297, 99.72934276120138, 121.64829083674755, 150.68970361210032, 185.44990604327276, 66.74513595361294, 141.91373290328076, 234.8486747402802, 122.25032592632405, 185.8699035924954, 100.56362049913919, 114.50725534239905, 37.22203460564233, 169.51225722479595, 183.73669291791876, 187.96322438504328, 88.20333663225581, 69.15894230206449, 289.8998895714216, 29.167295164835252, 138.78435797498045, 110.97583923862835, 411.87731367651054, 126.58509033887374, 264.5526008675011, 171.97089285284727, 203.67388080155072, 56.13229647096371, 229.15964300533417, 281.63534519567764, 236.84245368276137]","[1.1020354127779053e-05, 4.293925030691864e-06, 8.862397630507804e-06, 1.836376942360638e-05, 2.093586002251615e-06, 1.5447118792510357e-05, 6.9016685847372065e-06, 2.7168937550456475e-06, 7.626912575634804e-06, 8.500910090853361e-06, 3.6118180866975342e-06, 6.221602554117242e-07, 8.136162725824236e-06, 5.721393627643623e-06, 6.617678044957258e-07, 2.9265706369987224e-06, 8.020405816050902e-06, 6.668112627389285e-06, 1.035015878715187e-05, 5.594605890448094e-06, 8.890329457090579e-06, 2.236890892235157e-06, 9.313866066099472e-06, 5.399407118894736e-06, 1.1262322934832497e-05, 4.020114384349746e-06, 5.650538408137909e-06, 7.306650972110584e-06, 8.624598057696176e-06, 4.356940233736057e-06, 7.483837485568591e-06, 1.1236445107222333e-05, 5.5140183669183455e-06, 8.225914430547178e-06, 5.716841107666514e-06, 5.096319055389724e-06, 3.2298240474009507e-06, 8.213166591304696e-06, 8.629411108302231e-06, 1.0304823557321118e-05, 5.417763597437559e-06, 2.4659764329461047e-06, 1.1672313157748367e-05, 1.9440357670928037e-06, 6.959170248448131e-06, 7.135410536750643e-06, 1.721224717697913e-05, 5.660630411495642e-06, 1.009585365333164e-05, 5.322982698422515e-06, 7.86853870112098e-06, 2.927540058735954e-06, 1.0268673434912633e-05, 1.152729845290069e-05, 1.0298608853042338e-05]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[267.59898398840835, 141.55891744243942, 207.16271190780603, 460.2378444257461, 41.950720597056886, 314.4576919845597, 161.17920204143945, 58.90009562501896, 135.10781532883615, 152.00538989195616, 79.31800742535788, 21.634300217124, 192.17681405493715, 108.7202094562681, 31.820132690099715, 62.62080963034536, 228.0565534384092, 189.6510822018582, 222.1801610091292, 88.97753299292623, 170.80896664762452, 35.64556785616824, 215.57310892719886, 79.91469890220841, 301.52714502229617, 96.2111760084649, 117.2115150765729, 159.7278477542275, 184.2210166035556, 67.20990465723398, 132.31145538560338, 216.88270572472587, 113.41075861128283, 178.31461738338834, 86.3294582957827, 101.70793445971887, 37.12732577811068, 189.28141701462994, 169.30550133431498, 165.43083703599163, 83.44607787725509, 69.01176368325505, 322.81504439371116, 29.167295164835252, 138.24610215011748, 110.11093502782032, 383.46074262359633, 115.60402355536645, 229.68109715650135, 198.54202908835407, 176.48254828011903, 56.7337202294663, 241.828768441003, 259.47153536200364, 223.59692323763576]","[1.161106297022601e-05, 4.331058869523281e-06, 9.164861682435422e-06, 1.862529077921334e-05, 2.087261738563037e-06, 1.555392174812035e-05, 6.7850743341492175e-06, 2.371480576995709e-06, 7.607987004550511e-06, 8.49022053578084e-06, 3.606456396944978e-06, 6.20549831973077e-07, 7.820556636533787e-06, 5.899683520788596e-06, 1.0251696481032935e-06, 2.918971355355423e-06, 7.999636640424937e-06, 6.708656876367643e-06, 1.046382197302542e-05, 5.580122727995484e-06, 8.851438904654015e-06, 2.2311008381569056e-06, 9.295681580620158e-06, 5.21152676716116e-06, 1.1479923155086233e-05, 4.009708565330293e-06, 5.538313281830457e-06, 7.430565472465478e-06, 8.629405538784608e-06, 4.4380140229779715e-06, 7.2717959015805605e-06, 1.0785424631035772e-05, 5.52191885745624e-06, 8.205491652757857e-06, 5.702043417137624e-06, 5.082334928516151e-06, 3.2214642166348e-06, 8.536026946677963e-06, 8.456556284330144e-06, 1.0260514830451777e-05, 5.173875514704802e-06, 2.4617122321363596e-06, 1.1983864110694687e-05, 1.9390037499127055e-06, 6.941156865578986e-06, 6.9993622620561676e-06, 1.684102624548492e-05, 5.654535704368728e-06, 1.0055054898941163e-05, 5.7184728265368654e-06, 7.806360968357257e-06, 3.0178146230889867e-06, 1.0422904131559063e-05, 1.08806550402724e-05, 1.0212037728891139e-05]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[286.16594559186103, 138.48429002583464, 188.1107276932112, 464.7930201957432, 61.0740245632413, 360.4390639661107, 144.3024258135145, 62.063280051285574, 155.1988447354404, 151.6130492318446, 75.23666726943111, 15.020395538468595, 210.75293704126986, 107.18497509837022, 31.403054707305422, 62.78530667443035, 223.90888235726476, 178.9438691987992, 198.38426759299654, 87.03363848863027, 178.86557646014944, 34.587299794111, 199.9200439563778, 77.08650268942243, 302.3545311213578, 100.16323967229214, 107.73946639589819, 145.27071738503327, 180.2290262449629, 76.76492621734309, 134.86034322149226, 232.38051269541864, 126.28356369889855, 204.84162230915516, 106.15475638203634, 98.6004241145932, 35.614205182349124, 208.6364364684569, 182.2554263465498, 171.69723564993276, 74.96686405384798, 62.59322990713928, 306.53192041288423, 27.90008473524345, 136.6617066371246, 142.80560427122361, 413.20452067291717, 114.45080977274128, 221.15970105501162, 169.655446269534, 182.01665597719412, 66.26880847350411, 226.77220824802865, 243.18139228604005, 207.04621629628286]","[1.1875181577599257e-05, 4.286675687256597e-06, 9.090768865285332e-06, 1.8776012319782667e-05, 2.3674584683116386e-06, 1.6572440592913333e-05, 6.7155432564295e-06, 2.467807586266625e-06, 7.860242656372696e-06, 8.450645310902816e-06, 3.571252795472689e-06, 6.141906535070175e-07, 7.841771522462667e-06, 5.848764585702672e-06, 1.0146640667396968e-06, 2.9184895833083917e-06, 7.91683218631641e-06, 6.6312940013490336e-06, 1.0206439932973341e-05, 5.5224159810687885e-06, 8.576798625757037e-06, 2.208455529794888e-06, 9.197086341349047e-06, 5.158834057587084e-06, 1.1427852270282557e-05, 4.181026069094659e-06, 5.463665924686366e-06, 6.8459349226008236e-06, 8.708411826335222e-06, 4.5478458167433325e-06, 7.035456390924979e-06, 1.1023925413404428e-05, 5.729427961228817e-06, 8.759494898208249e-06, 5.9023530421270525e-06, 4.665715733478745e-06, 3.1884517730308404e-06, 8.802952963077434e-06, 8.669496031236513e-06, 1.0329188563220258e-05, 4.980681230652485e-06, 2.40154996720634e-06, 1.1868300228880889e-05, 1.7174309515738741e-06, 6.871586506589689e-06, 7.407746562424757e-06, 1.6709313960663825e-05, 5.43044973953455e-06, 9.658442473400923e-06, 5.659996073629919e-06, 7.893478304795698e-06, 3.1467629806423034e-06, 1.018998572784268e-05, 1.0558206373373271e-05, 1.0120476598885182e-05]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[275.5603322893665, 138.10865430243112, 176.08800343660138, 451.1965058420414, 58.99702173922176, 342.92590747987106, 140.23472858073583, 61.79674834564394, 142.53848498876042, 153.27907257899162, 63.027154327765366, 15.020395538468595, 203.45122950761447, 102.89713152811227, 31.329664569138025, 62.49126559150206, 241.89181584227683, 163.64804420667758, 181.11545937177465, 87.03363848863027, 169.69417078273847, 33.475049058735294, 192.6595268324089, 75.77808110812599, 298.3080405559283, 99.06166478864994, 107.49654492287699, 137.24825444556166, 175.852235877819, 75.43254740171677, 130.92139747017782, 226.35535456962342, 114.94111411508786, 218.58385912543866, 101.74305304797086, 94.62990363455249, 35.32475675473223, 207.45322067894105, 171.51750374184397, 203.57873722470282, 94.00956617231056, 60.61494918022146, 307.3340910749003, 25.81585071116988, 130.36405322827295, 159.4878672784681, 400.9192810247391, 107.43346347278683, 215.44957317840252, 161.7918769293797, 177.90639708103933, 66.2343292423271, 231.0170639371517, 228.96364554578736, 218.17598891720627]","[1.1958058559135314e-05, 4.316162708382025e-06, 9.154259104919993e-06, 1.8221123052900742e-05, 2.383361113378062e-06, 1.6686318251229758e-05, 6.761737878992062e-06, 2.481954568487051e-06, 7.914311393475845e-06, 8.614134643207278e-06, 3.5958185928534493e-06, 6.18415524735839e-07, 7.78947776888328e-06, 5.8889968440121455e-06, 1.0216436991850315e-06, 2.716630738604248e-06, 8.305444794896733e-06, 6.676710434033998e-06, 1.0108773077663743e-05, 5.5604010708829844e-06, 8.399426155951375e-06, 2.2230505642480805e-06, 9.26474650875157e-06, 4.853663508422176e-06, 1.1164822153686756e-05, 4.209554871813087e-06, 5.501249761907056e-06, 6.893026478343826e-06, 8.76466796636043e-06, 4.238024377108763e-06, 7.083832780096604e-06, 1.0589851813790603e-05, 5.724230859141677e-06, 9.162391427162418e-06, 5.7688678298841965e-06, 4.696817773300811e-06, 3.2103797673725494e-06, 8.490939595487095e-06, 8.727211729638884e-06, 1.0702874121092272e-05, 5.001648911337589e-06, 2.4180696586687194e-06, 1.2104544940253927e-05, 1.729244750037005e-06, 6.604643383861936e-06, 7.758286923503581e-06, 1.7162333590137897e-05, 5.29273968052856e-06, 9.724880598817712e-06, 5.698929838534435e-06, 7.856818600669727e-06, 3.101055077583275e-06, 1.02584720673375e-05, 1.0583567806741272e-05, 9.822881492638282e-06]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[297.2404834023104, 129.094406469598, 173.5622992072241, 444.93523095621265, 57.97238886882189, 339.56097183950436, 136.25597938700125, 61.163027460708136, 138.25445975657286, 145.59030789219022, 61.90509765944688, 12.934671994440723, 197.8276443619765, 110.21169115564535, 32.19204599043634, 57.384448894047495, 208.66426731221813, 149.0670772050834, 198.56084777163068, 86.00786016396819, 167.40044204355965, 30.990980381816758, 189.64271059088267, 74.11045073996767, 278.26456267070915, 93.59495377707884, 102.61474098249337, 136.66168877314226, 191.34539416301251, 94.12271108855929, 139.72834425898307, 197.99234844950197, 109.90755527030325, 206.26081366780932, 94.2753900284012, 92.68362174314684, 34.01952959182691, 189.42646637433467, 175.21239880152888, 199.60149746487653, 88.3912832283805, 79.62638836590952, 345.4929235688117, 25.81585071116988, 123.57631293303635, 157.5734191238937, 455.33700576592895, 105.4559678316003, 287.47228398710644, 203.0509978281281, 168.00954499932425, 62.271013265044225, 277.8661409975696, 256.9523034502306, 185.68749789167862]","[1.2124429299756877e-05, 4.261203081366976e-06, 9.030416902666545e-06, 1.8324797696615423e-05, 2.353044121544138e-06, 1.645253788581277e-05, 6.342909583040951e-06, 2.450761300096469e-06, 7.495427660837964e-06, 8.234284408337792e-06, 3.2090595826401304e-06, 6.105409637246881e-07, 7.969913362053778e-06, 5.970626710295349e-06, 1.028288996048717e-06, 2.6820390016046543e-06, 8.199687956598202e-06, 6.2537751697887835e-06, 1.025826368855453e-05, 5.489598001219897e-06, 8.471909926655981e-06, 2.1947434687780273e-06, 9.15516672503802e-06, 4.840840495522448e-06, 1.1024274313308808e-05, 4.145730887743933e-06, 5.490908323816979e-06, 6.808713269215369e-06, 8.942022432078186e-06, 4.523137348526494e-06, 7.375838687364444e-06, 1.0425103402038653e-05, 5.673972801269023e-06, 9.046735907615076e-06, 5.695410255725375e-06, 4.6370110953724395e-06, 3.1695005688539734e-06, 8.130837047026756e-06, 8.820908872995988e-06, 1.028365581252099e-05, 4.937960739134807e-06, 2.714229349896922e-06, 1.2835552790268014e-05, 1.7074162239576072e-06, 6.52053739857434e-06, 7.659497198115589e-06, 1.8129939331567694e-05, 5.227158035462969e-06, 1.0716045134680729e-05, 6.303007387134659e-06, 7.673223293713119e-06, 3.0615678524967487e-06, 1.0649047752324697e-05, 1.0757022843275535e-05, 9.224956323551477e-06]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[288.5918519708539, 107.77347900521656, 156.6414610767855, 451.90723036057796, 60.86727538701139, 337.70686599415495, 118.5879412116933, 56.922733524581474, 156.46264461571272, 142.52807036757343, 56.19106760755865, 12.934671994440723, 206.23844694049222, 107.60474150147554, 31.385817960980834, 64.7057642748175, 187.362813649378, 167.5274450236489, 193.64429531865724, 75.5766990898139, 151.50577455164708, 30.990980381816758, 175.52510731371783, 71.19381920014406, 256.74853312033514, 84.61186352642879, 104.97729393558241, 122.50645647427682, 213.30407017038158, 92.92956816696885, 137.82217502154415, 194.98139601129864, 105.80494229216549, 202.26964965929236, 93.16715485728626, 85.20044736922766, 30.7333046014859, 179.78885545585806, 181.47936138093735, 196.75905175820245, 87.31422417842103, 84.59962482244507, 349.3426126561933, 21.54174567001347, 122.65384769426943, 180.05339642586722, 470.24774717804536, 95.07661951211972, 271.3106578937519, 191.1836083724323, 167.11073501025712, 61.99078295463278, 297.4848895152842, 235.54115002744027, 165.07831618307594]","[1.1465834564885177e-05, 4.268449160108428e-06, 9.045357852561391e-06, 1.869584127285061e-05, 2.4149313485956994e-06, 1.6045652284805142e-05, 6.353696800104955e-06, 2.4544487023213038e-06, 7.832680968379455e-06, 8.142102631339636e-06, 3.22216046386301e-06, 6.115792986970601e-07, 8.408299429337632e-06, 5.980851836074302e-06, 1.0299375969199158e-06, 2.7972588095603803e-06, 8.213633008831637e-06, 6.5992363367850165e-06, 1.0275708915369493e-05, 5.327659337370085e-06, 8.486317949057744e-06, 2.1984759793256698e-06, 9.170736033329132e-06, 4.3026508167216464e-06, 1.1037640845991066e-05, 4.1527814504736715e-06, 5.7089409317749e-06, 6.820292713577302e-06, 8.940903647236892e-06, 4.530829758983162e-06, 7.159267460503238e-06, 1.0446552379605367e-05, 5.6815233885272055e-06, 9.061174151373552e-06, 5.705913137337155e-06, 4.136465763939187e-06, 3.1748773588411737e-06, 8.141789203797164e-06, 8.965970940965184e-06, 1.0293651126930222e-05, 4.94669235091947e-06, 2.8233412532087963e-06, 1.293556626938394e-05, 1.7103199930459754e-06, 6.531626747891694e-06, 8.051704857436911e-06, 1.8512018878004054e-05, 5.236044797229849e-06, 1.0735454629954727e-05, 6.024663624506993e-06, 7.717440834163895e-06, 3.066850833254439e-06, 1.0707884583101332e-05, 1.0547474330154468e-05, 8.910857439881796e-06]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[268.52595619166425, 103.95289656110009, 154.99680109727154, 432.1615944323526, 54.1977543654681, 329.11907828662726, 118.34826951074193, 45.54695374880165, 155.4783622717895, 180.11684422990447, 54.37608363691004, 12.934671994440723, 206.19295196597125, 96.7277418623142, 31.385817960980834, 74.83058892243808, 205.08483194145475, 153.78320947578933, 202.95497429205113, 72.67117798454112, 171.21599715525954, 30.990980381816758, 173.23389635729248, 65.88728533164026, 244.17974145099546, 84.30604869983104, 100.83959397037306, 117.8174855169851, 207.4097517955941, 112.12220257559827, 148.41283017847252, 180.45073847193822, 105.40470416640645, 200.55899666426959, 92.03907141295291, 81.50654744722607, 30.11804502740429, 173.61479987357274, 188.81524004276156, 214.40761618287462, 86.69229351887806, 81.99105556016771, 329.8101201504953, 21.52660472969494, 96.02190894126305, 197.99914363019798, 464.824910214575, 91.69239094811469, 278.71993534872286, 194.4112567302144, 183.28711610768394, 55.65677609011708, 278.22012000494357, 242.0214624282861, 184.92812381390496]","[1.1495158949961653e-05, 4.279365909878508e-06, 9.068759754173386e-06, 1.874711209248935e-05, 2.42598050425938e-06, 1.6224581602897193e-05, 5.729103006999991e-06, 2.4612252859533466e-06, 7.5120811720579315e-06, 8.69733386342126e-06, 2.9436688987250783e-06, 6.131434401286377e-07, 8.50477442240508e-06, 5.696160728673231e-06, 1.0325815302805085e-06, 3.0814796417744344e-06, 8.510898071256133e-06, 6.271601152538698e-06, 1.0493117684071165e-05, 5.341269744691646e-06, 8.868121889207754e-06, 2.2040233795744118e-06, 9.510276143735247e-06, 4.0134623398835e-06, 1.106008895106404e-05, 4.152855369165309e-06, 5.711374434825471e-06, 6.859596412373272e-06, 9.106262033574301e-06, 4.750114149844104e-06, 7.373688204929384e-06, 1.0578355760548109e-05, 5.5855556731117634e-06, 9.084348509816761e-06, 5.352488863994104e-06, 4.147044960265084e-06, 2.8940508822337505e-06, 7.832706669067414e-06, 9.129718064902769e-06, 1.0318852404540185e-05, 4.958759073394674e-06, 2.8093718439809037e-06, 1.3003926014752987e-05, 1.7149172627163487e-06, 6.206774208284338e-06, 7.792093641004841e-06, 1.85512960854394e-05, 5.074932649245722e-06, 1.042932604311781e-05, 6.324105318739967e-06, 8.002419244886294e-06, 3.075506096801922e-06, 1.0623001596841111e-05, 1.0624190696158997e-05, 8.804683414126753e-06]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[248.0933260217829, 110.29656138820381, 176.70033050201505, 430.15939116989716, 53.72235786500005, 318.7735045567823, 113.05096739707086, 44.01343057820248, 146.41342705232572, 186.7962343576587, 50.57737834482342, 12.894596903755344, 199.8914950668765, 94.65730795126446, 31.59750705029846, 73.1923012791783, 188.05871078271804, 147.28696768283746, 200.4163103512653, 78.31372041487266, 185.32658625382246, 29.88249255020384, 188.7742694833395, 56.81495988172275, 231.05683156413167, 82.22638248047853, 98.30238982434788, 111.66803589462963, 191.80653681754336, 108.79200783318491, 144.28629932459393, 177.86190630109476, 101.67918588066625, 193.1019107556565, 87.44738289894265, 70.48912717739883, 38.88803747631665, 198.20954570376574, 179.99210109946736, 200.0078159009873, 106.37729242617138, 84.58579573957583, 337.7277944758495, 20.417180453442736, 90.20773894031468, 186.64731716807063, 429.3780652134873, 77.86289233543485, 293.8658966780665, 194.4112567302144, 177.25731658845754, 54.643534189622535, 263.34164013517574, 251.03970335735448, 194.4233417741223]","[1.1577760406824504e-05, 4.6470931857513285e-06, 9.468339510890081e-06, 1.853552989922927e-05, 2.44263959811403e-06, 1.5982484991511833e-05, 5.7681409416894595e-06, 2.478184789124943e-06, 6.954563582390966e-06, 8.88757399168768e-06, 2.961833790597217e-06, 5.78766504398589e-07, 8.563171842580419e-06, 5.514048925723484e-06, 1.0528576229539845e-06, 3.102640016996915e-06, 8.36640280895465e-06, 6.076433812776368e-06, 1.02007059950797e-05, 5.540573204396638e-06, 9.182647288368248e-06, 2.2191583040693324e-06, 9.561835841550535e-06, 4.040360323865351e-06, 1.1135846208094506e-05, 4.218272384674581e-06, 5.742889370085143e-06, 6.918431685322629e-06, 8.150080701669043e-06, 4.782735643064188e-06, 7.424711090489626e-06, 1.0067428987963794e-05, 5.527874353881756e-06, 8.803895280898785e-06, 5.0470694600261e-06, 4.175523891724352e-06, 2.7512353221439355e-06, 8.463163954133363e-06, 9.192417126435839e-06, 9.712105938745638e-06, 5.216133813437854e-06, 2.9948159225441463e-06, 1.342582336217433e-05, 1.7266935450352305e-06, 5.906253285581196e-06, 7.861390385364641e-06, 1.867891981295083e-05, 5.109777998855454e-06, 1.0985858493365881e-05, 6.367049052238079e-06, 8.074322682102009e-06, 3.0966254519730984e-06, 1.0661018136667364e-05, 1.0752137929215986e-05, 8.954980647883025e-06]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[223.37692650592948, 128.19383545204425, 161.60406581017168, 426.70014649977446, 52.86437560631962, 302.6293552569297, 98.30002237519051, 43.74222025666471, 134.29233289268092, 181.20549174677976, 50.17626770652822, 12.675246975900661, 202.21028984014865, 83.50147484847624, 19.305609739313415, 69.97478697082956, 184.66938325451162, 135.8002996079475, 196.23776361064995, 86.28129156726905, 183.48290134117835, 27.309698291029846, 207.90598142204436, 61.24467879785589, 251.20584018641722, 134.19293516824106, 133.35435976438478, 106.80669093584439, 182.210995766619, 127.88205710842452, 140.9559539892811, 170.0160183789355, 108.26769956509125, 208.39685170982688, 81.15632042662509, 76.37261705512682, 36.3039468003983, 196.98386107612225, 175.17260725164, 185.7929515404043, 103.00209682805117, 84.52891913609865, 314.0434078714876, 20.417180453442736, 87.34801591146962, 185.98946766446107, 418.0032349841893, 74.84726499285645, 282.2873743240882, 181.0894734387414, 153.7411391551006, 50.103151326719406, 267.10736572691945, 262.8687825429123, 205.10715436760674]","[1.148761943616873e-05, 4.9522342891337626e-06, 9.152790449626746e-06, 1.892157944945648e-05, 2.3202717738049003e-06, 1.5494341588979803e-05, 5.463012201072891e-06, 2.312335604899804e-06, 6.503817433984699e-06, 8.577145135436277e-06, 2.9694805215543908e-06, 5.79143048857971e-07, 8.6461619137154e-06, 5.470597345844678e-06, 1.0556042950479763e-06, 3.1095823258109506e-06, 8.049251008268441e-06, 6.159664252202009e-06, 1.0150135863066473e-05, 5.3982239758351835e-06, 9.203227196693931e-06, 2.224887628434388e-06, 9.924478362907747e-06, 3.939773539370125e-06, 1.1709139065467728e-05, 4.7715666671588615e-06, 5.9719810168929425e-06, 6.93629193732195e-06, 8.17785215589174e-06, 5.164790640323892e-06, 7.441214293863032e-06, 1.0125812405674533e-05, 5.689827607205533e-06, 9.167716624926644e-06, 5.060099759836876e-06, 4.143487494768229e-06, 2.754727665288138e-06, 8.197986711394163e-06, 9.012510355111117e-06, 9.536043660358159e-06, 5.231145033917273e-06, 3.002547805304646e-06, 1.3511219728757494e-05, 1.731132553405995e-06, 5.920684392984663e-06, 7.881686573967175e-06, 1.8557056112841118e-05, 4.783360314001496e-06, 1.101578477724488e-05, 6.383943971470929e-06, 7.553150665079803e-06, 3.1033662212349394e-06, 1.0840589916296885e-05, 1.1081283849308024e-05, 9.168364878453875e-06]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[206.8964648431974, 126.6565217437418, 149.62534653274298, 430.62391826702844, 40.85836880592365, 270.5460990909346, 89.92915102300617, 38.43348303100627, 118.33286735027144, 174.19918002747576, 48.67824601679552, 10.470612083015522, 190.50628100314054, 124.61402362920833, 19.166583745048648, 73.86748799278526, 180.11796188472562, 130.4084516689612, 192.98186684152714, 82.66616474800006, 176.7182148774425, 26.559226951350865, 202.09606697591803, 79.08113442352271, 229.27580292978564, 122.09574900172115, 127.27322479695978, 112.29557831574436, 169.900310567977, 118.03185745879865, 133.94611987077676, 176.02366360290665, 96.24185102077845, 169.17070799459063, 70.99694962710328, 73.41439331794058, 35.249884663205435, 179.49537121343639, 157.63630407524005, 174.97621711839656, 98.47742340714193, 83.3654059291989, 314.857223545177, 19.49112099185463, 86.21694612482385, 183.89198468674547, 436.47486899439787, 71.91370741216741, 300.84517533835964, 170.57103653321727, 151.76461854258665, 63.358995739114484, 278.399685237631, 306.62894058347524, 199.47483146547117]","[1.1358035509916055e-05, 4.765526952565037e-06, 9.133002585724839e-06, 1.929900029015579e-05, 2.3242666221379632e-06, 1.5422774118646537e-05, 5.171191879785345e-06, 2.316322390425498e-06, 6.515030898452256e-06, 8.561512634790826e-06, 2.9746003155570727e-06, 5.801270077781405e-07, 8.660180206426443e-06, 5.950549649791108e-06, 1.0574242727849139e-06, 3.2063772639494826e-06, 7.382931400379633e-06, 6.1702856169571036e-06, 1.0314291399505926e-05, 5.2589457294198665e-06, 9.051174497194863e-06, 2.2287236415868833e-06, 9.905218416185079e-06, 4.258562563167936e-06, 1.1729327285514258e-05, 4.7542864376765805e-06, 5.981837284266998e-06, 6.966100011344137e-06, 8.013728179377201e-06, 5.173695451772723e-06, 7.151924634180189e-06, 1.0435910430303918e-05, 5.618820893856301e-06, 9.182088502917014e-06, 5.068829694618377e-06, 4.1506313316933074e-06, 2.652686416801782e-06, 7.303930074869861e-06, 8.915187761622553e-06, 9.551926365111065e-06, 5.240989140001867e-06, 2.954381888420315e-06, 1.3526537379254861e-05, 1.7339287125502216e-06, 5.930879239937203e-06, 8.238885897124239e-06, 1.8620570799614102e-05, 4.438183938731467e-06, 1.1097370306179096e-05, 6.393397014467747e-06, 7.732786954616662e-06, 3.3996269046713115e-06, 1.112660994949566e-05, 1.1635316138939245e-05, 9.069628564499003e-06]"
