period,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[651.00990148149, 279.4905471759948, 488.7507119985428, 856.0, 78.25142560146223, 610.185483233393, 422.7452994421718, 108.91853937320343, 366.9419519635041, 452.23492895641857, 95.29371727899587, 23.628812073372245, 461.43468118381674, 256.5231776978785, 0.0, 203.87794962387363, 557.2056044730284, 422.7749034358327, 530.5131559538172, 187.71813903991077, 302.8222116052626, 24.820236248538937, 529.5211223490895, 133.94957279422812, 754.624445610837, 218.5419260063926, 139.54210787332997, 377.80677642701386, 362.72714951758394, 94.09634079674474, 254.70695390815143, 528.1220705773601, 270.3994343157844, 414.99269853797506, 133.21432481195836, 179.71526070694284, 39.21075683479423, 345.4378686834287, 421.51995556519466, 409.18861119923855, 190.68466611127855, 161.67666446353175, 629.070783713608, 54.43648053788369, 279.66356425749456, 265.133124902755, 863.397525687856, 327.2648606794732, 575.842588585796, 448.2547005578282, 542.46882542787, 152.05333520541015, 463.13759180697923, 619.7513670081895, 569.687307419831]","[558.2443882264182, 116.6013426553865, 509.271019092728, 860.0, 73.67832253520221, 836.7617897184407, 416.6571114043343, 32.0, 317.73327496549535, 542.7460631129381, 50.99694734926929, 0.0, 399.12973071509117, 421.759291427881, 0.0, 210.33544182544026, 462.6822033473386, 205.30238692792244, 562.5782201849582, 317.57477399210916, 346.59515845249774, 5.218545957711774, 362.5072982408516, 232.11947219611903, 510.4740484170973, 230.20972129665353, 138.54291507922295, 383.2082755208856, 386.5637567586872, 119.52595158290266, 284.0132769150848, 477.84848434533643, 367.27936962321684, 367.58231638685737, 221.17098602925557, 64.51041175096631, 48.642723735758324, 299.0154791614216, 462.71803613464937, 538.7950343952509, 274.03373066283154, 149.9247043090698, 628.06698517159, 83.06030586323905, 307.0, 367.48182273705237, 987.79883794494, 289.7107509447264, 569.6831395461293, 223.34288859566573, 629.5218239626207, 190.76682627619002, 480.9993119170625, 639.4557889240385, 583.4183289949304]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[742.2851263239685, 307.48239027671383, 586.0336507842959, 802.0, 65.67554220038369, 615.0010516293491, 419.72532517239586, 109.91853937320343, 311.14405321814576, 425.7368400155255, 96.13877363201273, 23.628812073372245, 463.564989900476, 283.89344131550564, 54.19710019780731, 200.6633231747743, 543.5413203976761, 476.93612559065747, 523.3010798090052, 173.7181390399108, 299.8222116052627, 17.72110287292295, 523.7470824605592, 134.67507272557484, 712.2934185276953, 215.54522284836025, 136.49923008745878, 411.7849626876522, 365.72714951758394, 95.68419829794182, 250.63857186230405, 502.3930750319714, 259.8721436616662, 402.5285303969703, 103.8058602850565, 147.9659206181233, 39.21075683479423, 374.43786868342875, 418.0925421243056, 390.18861119923855, 173.9149810513434, 162.18766366679628, 649.7543510416117, 54.725225136066214, 279.66356425749456, 263.9101164507017, 838.2878598450002, 298.8057413378726, 536.0713537494371, 472.2746748276042, 524.0897739313535, 187.87406062099927, 519.8075382235431, 606.3234103577861, 549.1787945353859]","[595.408318056667, 116.6013426553865, 521.2651692120129, 858.0, 73.67832253520221, 834.7617897184407, 410.16976388430544, 0.0, 314.73327496549535, 542.7519129936533, 50.99694734926929, 0.0, 369.25620296962916, 434.1407344717954, 8.431010367506518, 210.33544182544026, 460.6822033473386, 221.00305265073072, 562.3050710618539, 315.57477399210916, 345.59515845249774, 5.218545957711774, 358.5072982408516, 222.11947219611903, 512.3724155067463, 230.20972129665353, 133.0, 399.5248615771105, 383.5637567586872, 134.62758449325366, 282.0132769150848, 456.33856678841, 367.6893272232214, 364.987376189102, 219.17098602925557, 61.51041175096631, 48.642723735758324, 298.0154791614216, 461.71803613464937, 534.3603547879545, 210.7495077647082, 149.9247043090698, 639.6921789328778, 83.06030586323905, 306.0, 367.48182273705237, 984.3331968836186, 289.7107509447264, 568.1487806074507, 259.83023611569456, 662.0446194315349, 207.35610495982763, 496.31164048246274, 618.096946382431, 582.9904572147291]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[830.9948863805181, 296.48239027671383, 512.6442239825632, 804.0, 118.77532599623109, 742.3135502126325, 381.25068023908057, 114.44751194283042, 365.3471336296153, 432.4412816266942, 77.31895058743322, 9.542937357790942, 464.3651460277203, 283.7636900302867, 54.19710019780731, 187.90206386028248, 522.3931222118347, 431.84537428327064, 511.65126780292053, 170.4903207475904, 298.3836359179254, 13.721102872922947, 436.53935956164423, 115.96248859422174, 750.7413157099071, 210.5452228483602, 109.82310989227395, 386.2409425043176, 336.72714951758394, 108.54905892763001, 248.63857186230405, 529.0010123156163, 301.75413398883063, 453.81877034042066, 182.3929602239787, 143.39388325135644, 36.21075683479423, 396.8428651050515, 420.0755726191576, 411.18861119923855, 108.52514564893785, 157.18766366679628, 634.56225912107, 48.13890259834902, 279.2585678358718, 400.7208425709386, 837.0342363444726, 296.8057413378726, 541.9838965007932, 377.7493197609195, 466.35466563854624, 191.657118533627, 511.32968372752083, 582.2521889273385, 515.518004999902]","[634.4358876920207, 112.6013426553865, 515.9605724677397, 862.0, 93.18642773313309, 874.93668469714, 403.1977123162047, 0.0, 321.27157279112856, 539.4173874466828, 49.99694734926929, 0.0, 335.114998475853, 432.30675219565194, 7.431010367506518, 208.8273366275094, 443.6822033473386, 218.7186533749963, 552.5670600392153, 311.57477399210916, 324.59515845249774, 2.218545957711774, 344.5072982408516, 222.11947219611903, 504.4740484170973, 230.20972129665353, 123.0, 352.0626629109131, 380.5637567586872, 125.52595158290266, 281.0132769150848, 483.8674072330247, 389.6893272232214, 413.7642187731721, 259.42452746231754, 50.415713416730235, 48.642723735758324, 309.60688310136254, 463.71803613464937, 532.3603547879545, 196.78036560738067, 146.55601885237326, 638.06698517159, 81.48334124340025, 304.0, 408.09418678621387, 961.8974701208914, 283.543460301601, 561.0219261696303, 254.80228768379533, 657.8257305131497, 210.35610495982763, 494.9197942644651, 607.204770910045, 579.4627468047389]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[818.8297762438226, 302.48239027671383, 466.57717188206306, 806.0, 118.05176914735773, 711.4804942766706, 382.25068023908057, 119.44751194283042, 316.26083473539745, 434.4412816266942, 48.75645938134462, 9.542937357790942, 456.4568179295025, 269.3322672343184, 57.93433679047848, 188.99959648068887, 607.5286997331, 398.40786548935927, 496.4902679844474, 173.8015783524136, 278.58171853901786, 10.721102872922947, 425.7276253364364, 112.96248859422174, 761.7413157099071, 213.5419260063926, 115.78023210640279, 366.07275920462155, 336.89663282458116, 115.54905892763003, 248.63857186230405, 519.6224719611995, 286.81877392618406, 498.2466438844449, 166.95037761923732, 144.08262564653327, 38.21075683479423, 403.8428651050515, 414.70489368959215, 501.3271152715896, 172.89016887823135, 155.55601885237326, 631.8797885558221, 43.30708589804513, 265.2585678358718, 484.6140303092102, 844.6018821242143, 290.5580250242016, 535.283757869079, 364.7493197609195, 461.11773418717934, 194.657118533627, 487.61498651121445, 560.8325128829135, 514.8585400314294]","[639.6314754725969, 115.6013426553865, 520.9605724677397, 832.0, 93.18642773313309, 886.9257472221315, 406.1977123162047, 0.0, 327.27157279112856, 541.4173874466828, 50.99694734926929, 0.0, 322.8587955062238, 432.30675219565194, 7.431010367506518, 202.55479566885876, 497.6822033473386, 221.7186533749963, 551.5670600392153, 313.57477399210916, 314.8513614221269, 2.218545957711774, 354.5072982408516, 222.11947219611903, 469.4740484170973, 231.20972129665353, 130.0, 354.5773938228577, 383.5746942336957, 107.52595158290266, 281.0132769150848, 451.3415166224785, 387.6893272232214, 443.7642187731721, 253.95041807286378, 51.415713416730235, 48.642723735758324, 290.60688310136254, 464.71803613464937, 553.3603547879545, 196.32619951114185, 147.55601885237326, 638.6921789328778, 82.96861033145562, 287.0, 419.5483528824527, 976.7018823403151, 283.543460301601, 561.0219261696303, 257.8022876837953, 650.2477914527217, 199.62864591847827, 495.29460050317715, 608.1139863617166, 580.1226579273803]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[849.5620957868279, 283.48239027671383, 448.0281844086383, 794.0, 114.22898569425799, 693.542427772065, 369.25068023908057, 113.44751194283042, 301.6342757236256, 406.64611254074066, 44.75645938134462, 7.542937357790943, 448.9587409481519, 268.2742117692333, 59.202017247473435, 175.53374867500622, 561.8138956225434, 324.436496257909, 517.9336594122992, 166.4903207475904, 270.1719719844496, 3.8965997437056026, 413.8099590574831, 106.55135126303847, 687.6737041656712, 208.5452228483602, 102.48741854573719, 364.07275920462155, 400.87239567214186, 221.6166704718659, 263.34175238395915, 370.658057946924, 287.4067099489722, 475.2466438844449, 149.92174685068747, 143.39388325135644, 35.21075683479423, 364.3571690598899, 455.09276799951795, 494.3271152715896, 161.91927044708785, 234.43794026473708, 711.3884751969365, 42.30708589804513, 257.25856783587176, 464.86040147334165, 912.6402490811898, 287.5580250242016, 567.283757869079, 507.7493197609195, 440.4996212114746, 184.0563734409661, 545.1355392906177, 579.0733662915987, 490.2167201143764]","[640.2837417777519, 111.6013426553865, 512.9581512812854, 831.0, 91.18642773313309, 867.93668469714, 387.1977123162047, 0.0, 304.229082478026, 534.4198086331372, 46.99694734926929, 0.0, 365.8587955062238, 432.1817835266102, 7.583156281775442, 200.0365482038891, 487.6822033473386, 168.7186533749963, 551.5670600392153, 309.57477399210916, 313.8513614221269, 2.218545957711774, 333.5072982408515, 222.11947219611903, 460.4740484170973, 229.95892084609426, 119.0, 352.0626629109131, 416.5637567586872, 136.52595158290262, 288.0393419639753, 442.3415166224785, 390.802629069906, 439.7642187731721, 247.95041807286378, 46.415713416730235, 48.642723735758324, 255.29631646496455, 479.2958284858186, 526.3603547879545, 192.78036560738067, 189.9247043090698, 714.692178932878, 79.48334124340025, 287.0, 415.09418678621387, 990.5287846641947, 282.543460301601, 574.0219261696303, 272.8022876837953, 634.5274962342685, 197.62864591847827, 526.2599712691839, 624.4375098465491, 561.1248746899888]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[831.9194745637179, 202.3877749071526, 427.0389323234794, 896.0, 133.77064258018424, 709.3100948790043, 301.55633804546386, 95.44751194283042, 359.9133475562328, 407.75534275471995, 40.972790346064784, 7.542937357790943, 512.8991041081499, 268.5033913190484, 63.9392538401446, 203.50154853776445, 486.54268343812896, 413.1847235692487, 503.89498182557054, 126.57274075945571, 256.9488788214367, 3.8965997437056026, 383.66910199866965, 101.64584285067772, 618.7636988842701, 203.29442239780093, 102.2528499141694, 333.9613401983868, 528.6972065035335, 224.54905892762994, 263.9410755723767, 369.0837588924744, 287.84923086529284, 477.2466438844449, 148.9571885746277, 133.10612122459784, 15.96284663966135, 331.218289130048, 457.55050607158023, 492.3271152715896, 162.91927044708785, 242.11104389632987, 765.6378501652516, 24.418504904279892, 259.00257611349275, 539.1369982773292, 919.6856577236011, 247.64186254298838, 545.283757869079, 505.4436619545362, 445.5165499536598, 183.98716429274066, 554.8028144545393, 578.0733662915987, 455.6434065186499]","[589.2837417777519, 111.6013426553865, 512.9581512812854, 874.0, 99.5709162988652, 805.0757709335402, 387.1977123162047, 0.0, 320.229082478026, 526.4198086331372, 46.99694734926929, 0.0, 411.3098995245651, 432.1817835266102, 7.583156281775442, 203.17030710312665, 487.6822033473386, 204.7186533749963, 551.5670600392153, 293.0562425996996, 313.8513614221269, 2.218545957711774, 336.5072982408515, 195.98038595971883, 460.4740484170973, 229.95892084609426, 123.0, 352.0626629109131, 419.5637567586872, 136.52595158290262, 286.0393419639753, 442.3415166224785, 390.802629069906, 439.7642187731721, 248.95041807286378, 21.93424480913977, 48.642723735758324, 255.29631646496455, 479.2958284858186, 524.8605618210586, 192.78036560738067, 215.09495867157858, 718.9456488087447, 79.48334124340025, 287.0, 444.64308276787267, 990.5287846641947, 282.543460301601, 574.0219261696303, 264.8022876837953, 634.0012030198656, 197.62864591847827, 520.8362470308084, 617.9373028134451, 552.1248746899886]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[761.0200997709325, 189.8685469849811, 434.03893232347946, 881.0, 122.50422877146625, 708.8060828071219, 312.55633804546386, 56.2900257341563, 376.9133475562328, 416.1942749426183, 38.487755393926626, 7.542937357790943, 531.0498811486083, 238.0967249925743, 65.9392538401446, 238.90976237472495, 529.4016744427545, 382.6697585213868, 504.05305239893454, 123.07674415348059, 278.9657769333565, 3.8965997437056026, 401.3402602949985, 69.14228145990648, 566.76369888427, 204.29442239780093, 91.15516240601758, 330.5616080106482, 499.7047799661869, 299.7065451363041, 263.34175238395915, 306.17168182409773, 293.29830728721186, 480.2226641171166, 150.9571885746277, 129.443077356886, 16.147585640813276, 323.36565729847683, 457.81691988029826, 506.5524175276334, 164.95747782730552, 242.63747029518572, 759.6867681649156, 24.854880233307163, 201.85520794506397, 587.1867103601791, 908.1282402058865, 239.74055273961005, 557.7206883289346, 463.4436619545362, 522.2821211817328, 163.6481596040056, 552.815027650495, 603.5883188948414, 569.0418629846629]","[589.2837417777519, 111.6013426553865, 512.9581512812854, 873.0, 99.5709162988652, 808.2105883046422, 344.16976388430544, 0.0, 315.229082478026, 533.0335284887038, 46.99694734926929, 0.0, 413.7846220050091, 371.3835914240576, 7.583156281775442, 205.17030710312665, 520.9290949612281, 202.7186533749963, 551.5670600392153, 293.0562425996996, 320.8889756357946, 2.218545957711774, 433.46968402718386, 169.84556858861686, 460.4740484170973, 229.95892084609426, 123.0, 356.4126883603666, 424.5637567586872, 144.52595158290262, 286.0393419639753, 446.3077227063609, 383.4499232612449, 439.7642187731721, 213.86002555542558, 20.93424480913977, 48.642723735758324, 236.29631646496455, 479.2958284858186, 518.1646006429478, 192.78036560738067, 213.5061692078961, 718.9456488087447, 79.48334124340025, 265.0, 462.045655107095, 990.5287846641947, 271.89616611026213, 577.2606901838593, 273.83023611569456, 648.455744070122, 197.62864591847827, 520.8362470308084, 620.4318556997356, 574.05750983259]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[679.5581971401607, 235.41520439818066, 564.0389323234795, 842.0, 121.93486431556774, 672.4455175400713, 299.55633804546386, 52.447511942830445, 338.99522041320245, 420.34968303229465, 36.487755393926626, 7.542937357790943, 520.247923312494, 234.9501321089946, 65.9392538401446, 237.47912683062344, 513.921532496746, 369.66975852138677, 499.1002116555966, 137.21465473765087, 344.92874960063466, 3.8965997437056026, 524.1217961717815, 48.420973869987584, 513.8331998863837, 206.80769636267388, 87.11312087368329, 315.9814638228305, 409.7047799661869, 292.4795579255161, 261.79501709239145, 304.17168182409773, 281.4504270076353, 475.84936677899486, 146.9571885746277, 90.46774991340668, 64.98500250012233, 357.87769157619476, 455.86721403522336, 485.55241752763334, 226.59023464789874, 255.26456803891355, 772.1016321241149, 18.43502442112482, 191.85520794506397, 555.3439161120707, 885.1417316657557, 206.74055273961005, 570.0505799919001, 469.4436619545362, 521.0959680593232, 161.76773060520603, 549.1860119754068, 616.0860757053426, 630.8115305669828]","[603.4793295583281, 115.6013426553865, 548.9581512812853, 818.0, 101.57091629886521, 772.3078751404978, 347.16976388430544, 0.0, 268.52135447531214, 540.4198086331372, 50.99694734926929, 0.0, 423.7846220050091, 363.41605723791986, 9.583156281775441, 206.17030710312665, 535.7440694512233, 204.7186533749963, 544.1025340408617, 305.05625990578733, 335.07400114579957, 2.218545957711774, 496.46968402718386, 173.73734427775278, 469.4740484170973, 231.5224889658923, 133.0, 359.9080268380498, 296.57469423369577, 145.52595158290262, 287.0393419639753, 423.724067168393, 385.68607938873555, 422.7642187731721, 167.80371366273312, 25.93424480913977, 57.642706429670596, 297.44047634788024, 479.2958284858186, 484.1646006429478, 219.32619951114185, 226.5235200194191, 719.9456488087447, 82.96861033145562, 253.0, 465.60431463234795, 994.9200627313694, 273.89616611026213, 590.6758659588469, 277.83023611569456, 653.2633733682613, 199.62864591847827, 520.8005029689836, 623.9553618407282, 608.1200923783925]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[587.4677010870452, 316.26161639342496, 467.2776520159682, 874.0, 120.95095382167565, 655.0627591193295, 262.26401204870257, 56.395421607375184, 303.6657861450283, 408.82572410775845, 38.487755393926626, 7.542937357790943, 541.8714780219087, 179.42487170706482, 27.57677157786182, 234.90976237472498, 511.92702040341055, 310.9595917240687, 485.49160946785946, 154.18451385035934, 345.99426102275635, 2.8801414431622048, 606.0562847496598, 62.83288980559178, 605.2841714044298, 252.65509916437014, 294.1942450549221, 301.9441263747462, 383.4169726551026, 317.6687608073211, 262.27642638245925, 282.2609780204002, 295.27865851913, 484.4559330991488, 131.9571885746277, 97.27882173504582, 62.98500250012233, 370.2782886526981, 452.5067700973644, 461.55241752763334, 225.5880653517102, 256.2645680389136, 771.1016321241149, 19.82188058325584, 182.85520794506397, 570.346085408259, 886.1417316657557, 200.70483250823844, 563.0505799919001, 457.7359879512975, 450.51078862806327, 151.357820325088, 523.1860119754068, 640.4521500127809, 636.9913155850523]","[603.4408407971143, 150.6013426553865, 541.9095301360312, 837.0, 87.68745802912541, 751.6366133257471, 332.16976388430544, 0.0, 229.7565849510626, 534.8307559667772, 51.62116213320242, 0.0, 454.24545744310115, 360.90370243106736, 10.143877557406096, 209.17030710312667, 540.2274229184651, 213.09443859106318, 522.7426590354975, 284.05625990578733, 335.98286937547846, 5.218545957711774, 563.5608157975049, 119.45389897517794, 490.3724155067463, 248.82384291565342, 129.05581109466607, 364.72252133257064, 314.22732833342695, 152.62758449325366, 288.0393419639753, 442.6246372805571, 398.63118016801354, 438.40114050703596, 172.80371366273312, 5.013813298569726, 58.642706429670596, 293.1391223981191, 478.1792867555584, 486.1646006429478, 222.32619951114185, 227.5235200194191, 725.9971165005167, 83.96861033145562, 257.0, 471.60431463234795, 979.3463625251807, 242.2759025140323, 595.0389442249831, 286.83023611569456, 590.7067459631547, 200.62864591847827, 521.8005029689836, 625.3788054928115, 613.7170379476545]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[505.4096678714634, 318.26161639342496, 412.0960686857729, 888.0, 90.66536139886016, 601.4906313350679, 239.29196048060183, 32.11561994302442, 260.07113218456067, 390.53368301702073, 34.15875767729885, 3.0, 541.3037310529464, 380.5785319672083, 29.57677157786182, 262.0599132580972, 507.2026647258421, 300.9676834444091, 488.74192087484005, 149.41376585541508, 349.40400757732453, 1.880141443162205, 597.5368723522358, 184.90343903714552, 513.3536724065436, 254.70539331929524, 269.7371824127131, 356.5123799610723, 368.70477996618683, 287.7771214108043, 262.27642638245925, 323.2151067304787, 261.11163172023504, 417.123228156027, 90.278094570915, 99.11412491714036, 60.98500250012233, 362.27828865269817, 435.66459871142536, 446.55241752763334, 218.59779296248917, 256.0294608614962, 773.5662729679996, 21.406424951120226, 187.85520794506397, 584.6284604440109, 911.4691229047012, 184.537777262783, 614.8641879053224, 427.7080395193982, 501.8051459956636, 229.77442232614413, 521.891867678727, 705.0543728644008, 626.431749701161]","[589.8738428632546, 129.16834058924627, 534.1531342191759, 847.0, 87.68745802912541, 761.4424612452466, 330.16976388430544, 0.0, 229.51883074863318, 533.8249060860621, 51.62116213320242, 0.0, 453.7403154062481, 390.1744435168086, 10.143877557406096, 216.65747451087663, 441.0744424523165, 211.09443859106318, 527.8943486796242, 284.05625990578733, 334.64099187847995, 5.218545957711774, 560.3350977987374, 184.00643633439591, 488.3724155067463, 248.82384291565342, 129.05581109466607, 385.8816688742768, 299.8689430547095, 152.62758449325366, 286.0393419639753, 455.47294763643043, 389.14555721913683, 437.40114050703596, 171.80371366273312, 5.013813298569726, 57.642706429670596, 233.74297979817894, 474.5754293554986, 484.1646006429478, 222.32619951114185, 228.24373359879093, 726.9971165005167, 82.96861033145562, 255.0, 500.60431463234795, 993.353900132894, 223.11098343708417, 599.0922861489728, 285.83023611569456, 604.1012477435431, 247.1412546412767, 521.8005029689836, 648.7886915736589, 592.6138292111648]"
