,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-08-31 23:59:59,"[551.735280504462, 216.85566672353997, 281.88610774000534, 993.0, 245.8431257453289, 362.37303373719874, 451.1510529879083, 102.71012265583396, 189.7247530710765, 260.22154722822637, 53.05954393113554, 207.1564169364419, 280.44938685678795, 383.4804369216462, 68.85731798562463, 267.331625416837, 323.7609550150193, 300.422855714766, 618.1525181148793, 290.595947965638, 233.9658304919588, 207.67687822213315, 776.588740667824, 164.20247118252485, 107.40430735306177, 305.9472008265959, 267.9060035967365, 343.735687210992, 670.8781859171194, 224.54656227383074, 314.0010768582121, 415.4542494567069, 274.6326882254323, 204.0, 66.52550095851456, 507.68844042805324, 77.78795815400419, 453.72858269023664, 470.93853697915455, 359.2579082989164, 346.9070919976539, 253.65372219346213, 634.428874142029, 220.0434319013471, 191.31886584967918, 392.7301569780532, 988.254534703937, 161.93742533139974, 574.2561318362308, 155.84894701209168, 402.6863580364348, 166.66632433558513, 514.0395330285052, 760.0277500080256, 461.4198777578677]","[651.4847498287213, 119.56339598757927, 351.45367080909296, 1101.0, 179.3645500059472, 418.37820401571116, 379.305688552854, 64.45268156375822, 134.7106951222992, 442.01762145233715, 0.0, 99.0, 487.3494209218643, 412.87023350925807, 84.54828993392634, 281.21196568789463, 407.41823041155305, 132.49223451056798, 602.0589821754445, 217.19767576787174, 305.23561203658227, 92.14000850293198, 759.4280350362819, 87.99554562401846, 20.021658862939677, 271.5060989043268, 196.18643053049678, 339.0190696814942, 516.8359847547162, 264.18996333997796, 316.4500583383026, 374.06237260028354, 350.8573718059784, 174.0, 56.757213123307025, 242.95094717879212, 66.81003666002205, 479.1241588960673, 475.778979668647, 397.29366287371977, 439.8729300167787, 245.02897268057558, 645.0771961765463, 93.78829123071654, 183.0, 487.00707042262974, 1152.5610022935498, 214.12951770669147, 621.9715981985091, 114.69431144714599, 487.8905106889956, 94.66233082027676, 560.0031428854041, 828.9145537586712, 601.016694055778]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-01 23:59:59,"[508.6568344351469, 196.85566672353997, 423.8321003309705, 985.0, 195.82835396182617, 349.5583655178627, 425.30568855285395, 105.64898910119956, 168.46341643028023, 344.18144296715275, 53.05954393113554, 207.1564169364419, 252.7048674708712, 371.62323473378046, 64.5644800561622, 240.1851789359244, 314.7609550150193, 300.422855714766, 642.2726534323432, 290.2869969200038, 227.08054540175573, 210.17840723476274, 769.1622003300059, 153.31945032534685, 104.40430735306177, 300.83129449142274, 175.65052298265337, 386.00509408494787, 646.5758749936334, 158.71032701314735, 314.0010768582121, 373.77451617495507, 291.6126512041455, 232.6969029388491, 64.52550095851456, 712.4934744342256, 118.09698942139616, 436.77793754728555, 468.8891821221056, 358.2579082989164, 379.78460659695395, 244.12261859500936, 617.086862334565, 198.0434319013471, 233.31886584967918, 372.76488968170406, 960.2796559381995, 138.5512295123983, 598.27372919568, 119.694311447146, 380.7396888817303, 198.1164148297685, 512.0395330285053, 792.9975981730315, 449.7982266952295]","[642.4847498287213, 117.50924102856368, 384.60174278879515, 1071.0, 167.0047138913971, 407.34236661788634, 376.305688552854, 63.054027913611996, 130.7106951222992, 459.9925626610329, 0.0, 97.0, 425.7738218838349, 410.87023350925807, 83.60244489294195, 275.13893380065963, 405.41823041155305, 126.8755391481646, 614.090423653659, 215.19767576787174, 303.23561203658227, 90.14000850293198, 766.8176682292706, 83.4993238616331, 18.553718023149845, 271.5060989043268, 180.76429525878225, 357.3134283660959, 473.83598475471615, 259.1898822920425, 315.4500583383026, 373.57581701078817, 359.73435861758054, 191.12055946225112, 52.757213123307025, 298.4586924030827, 66.81011770795747, 472.1241588960673, 479.71790985777386, 395.29366287371977, 443.36338421070434, 239.79827389878753, 647.7712262323353, 99.88309770051055, 229.0, 470.13104590085135, 1148.9285576839782, 214.0204261325472, 626.7046849984455, 113.69431144714599, 494.76660445159195, 123.4201847345691, 554.5398116114034, 836.0232910622673, 596.3572290873054]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-02 23:59:59,"[499.93095591386964, 173.58154524481716, 443.5023487627605, 941.0, 187.81816054050432, 263.70036732795796, 399.305688552854, 107.35567091860771, 161.46341643028023, 439.2058681502535, 37.62098250861947, 108.0, 439.18722114166377, 375.36455285388143, 62.56448005616218, 195.63859946387228, 315.6900483292333, 283.0237095263832, 617.2717430975235, 289.68651906894974, 206.35703174785382, 156.4208274392179, 746.9410523694852, 164.81850443096585, 192.49123269799563, 242.84648983840896, 165.80693991909527, 427.26424576541126, 639.0768208880145, 163.6234016682135, 311.32913940973197, 487.33360277607886, 299.5825625763378, 218.10765075470567, 61.42735017491086, 802.6043399623424, 120.09735384938553, 426.77793754728555, 468.88418019644115, 363.0175037006864, 399.8429503921564, 243.15463250306505, 578.086862334565, 210.7972766761781, 233.31886584967918, 439.837651683961, 946.247642030144, 133.0922857203024, 560.8629813798234, 71.694311447146, 379.2146660032821, 158.6644052377928, 508.9846410381058, 790.3231702620719, 441.1839385184398]","[646.4847498287213, 117.57880981487811, 387.60174278879515, 1064.0, 171.00471389139707, 400.47719599156494, 378.305688552854, 64.2720050064157, 132.7106951222992, 449.1422102558259, 0.0, 99.0, 504.9222847863677, 411.16200943023415, 84.5328761066275, 243.13893380065957, 388.26750181876406, 128.49223451056798, 616.090423653659, 216.4547264831572, 286.75789846207425, 92.14000850293198, 737.0914483428384, 86.4993238616331, 75.52985571940584, 270.5060989043268, 181.76429525878225, 358.92426321170024, 460.7011553810375, 222.21374459578652, 314.4500583383026, 423.69486078232507, 359.73435861758054, 191.12055946225112, 54.757213123307025, 308.8745730208492, 69.81011770795747, 473.1241588960673, 479.71790985777386, 388.9418801019628, 456.8729300167787, 239.83028780684322, 647.7712262323353, 100.88309770051055, 231.0, 474.00707042262974, 1150.0633473241726, 214.12951770669147, 621.3166797975794, 84.69431144714599, 477.8957659831816, 124.4201847345691, 556.5398116114034, 834.7938831787518, 565.8367395610371]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-03 23:59:59,"[654.5981861425687, 185.59460270134943, 395.69009852087527, 936.0, 142.91477566981433, 244.33684319901468, 354.47862558027003, 96.46831254385704, 149.46341643028026, 386.09031892460723, 37.291866774392545, 121.2311577308853, 392.9523934798139, 349.7788131432489, 92.12054655104376, 177.3836781608562, 337.48550546837976, 392.986620091945, 588.0861959977772, 310.7874347041725, 186.34601469998782, 91.44389223772826, 734.9729928865028, 138.22010005132992, 257.49123269799566, 237.84648983840896, 167.33056416298814, 422.3621065736564, 610.0387493965936, 106.62332062027804, 311.32913940973197, 541.1281986839222, 282.0608787733176, 241.7937341626813, 53.52590194395943, 729.5812751638321, 144.43565006767687, 655.735079379503, 469.01882547089184, 376.66521734641003, 409.98462771535634, 240.95396179691895, 559.8316575148641, 211.20934003044232, 263.3188658496792, 402.97746275189417, 912.6588994292891, 124.00468369694468, 546.8629813798234, 47.521374419729966, 420.64200455680236, 145.73132170933425, 502.39029735757526, 801.9505157400939, 443.2664423522627]","[676.4847498287213, 116.50924102856368, 304.60174278879515, 1067.0, 166.0047138913971, 393.1295692418752, 376.2945618910028, 61.873351356269474, 130.7106951222992, 414.4626253839744, 0.0, 102.0, 500.98735780258335, 407.16200943023415, 85.60244489294195, 243.13893380065957, 393.2221476917614, 202.8755391481646, 615.090423653659, 241.00984048013765, 256.7404452631173, 90.14000850293198, 775.9197040832502, 83.4993238616331, 74.52985571940584, 269.79601769077817, 179.76429525878225, 361.36739610196463, 486.0487821307273, 221.21374459578652, 314.4500583383026, 485.04286489280565, 359.73435861758054, 188.12055946225112, 50.757213123307025, 305.38231824513974, 68.25500371097704, 456.8342401096159, 480.71790985777386, 395.92486391843306, 459.36338421070434, 235.83028780684322, 612.7712262323353, 108.43996481024617, 253.0, 471.80005797390044, 1154.174027113089, 214.0204261325472, 614.3777442682511, 83.70543810899719, 489.6768770647964, 123.4201847345691, 555.5398116114034, 826.6285256117185, 517.9074997170416]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-04 23:59:59,"[605.5981861425686, 163.59460270134943, 307.6967661974938, 901.0, 209.73725186732162, 235.33892258047374, 354.46749891841887, 121.74119645518716, 132.46781537468217, 385.94270172945926, 16.116778763131844, 121.2311577308853, 380.491354414015, 344.940946193657, 95.12054655104376, 138.82250425339717, 408.1821486176551, 339.6137707063567, 655.0861959977772, 310.72899605171006, 210.7677546760463, 85.49263430882652, 839.7403744648187, 92.21802066987087, 257.49123269799566, 282.52109873783996, 191.12355548409775, 384.7043717179174, 648.0387493965936, 113.62340166821348, 311.32913940973197, 511.5179977775913, 269.3232162657217, 308.22529784811815, 54.01622268407527, 780.3083912525019, 146.49400767220382, 631.735079379503, 469.01940328140836, 368.5928410920456, 402.98462771535634, 231.92194788886326, 520.2267083414927, 212.20934003044232, 261.3188658496792, 367.61809005316985, 906.524020823439, 119.74234620454057, 547.4314176943866, 88.53250108158116, 408.51981795826975, 149.73132170933425, 505.51205792582044, 789.4352622696239, 439.0728979271272]","[672.5153739559499, 100.47861690133502, 302.60174278879515, 1063.0, 207.9618709147984, 390.16212042730956, 374.2945618910028, 91.88237077704171, 129.6781439368648, 415.4626253839744, 0.0, 102.0, 484.4428825395515, 408.87023350925807, 85.60244489294195, 243.13893380065957, 415.94388103558583, 200.8755391481646, 643.090423653659, 221.46792605372488, 263.29582999293353, 90.14000850293198, 802.6425860096097, 83.4993238616331, 56.55371802314984, 277.031342648125, 121.30877052181413, 360.36739610196463, 512.0487821307273, 171.1898822920425, 315.4500583383026, 482.0428648928057, 359.73435861758054, 199.07220413521023, 50.757213123307025, 334.91521325078037, 68.25500371097704, 442.49024455245495, 479.86942343418673, 395.92486391843306, 459.36338421070434, 236.79827389878753, 610.7712262323353, 108.43996481024617, 252.0, 470.80005797390044, 1155.4488524377282, 214.0204261325472, 615.1832881787088, 81.70543810899719, 486.6768770647964, 123.4201847345691, 556.4339171657126, 823.3172238168642, 513.6328284851439]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-05 23:59:59,"[527.944481583565, 138.60551101584096, 301.1178672088698, 1054.0, 211.73725186732162, 251.79961228556394, 341.12378862941273, 118.55537748070205, 115.55156287890118, 406.7925938882266, 16.116778763131844, 122.2311577308853, 370.43200758686305, 339.7400014136567, 78.76334279555586, 138.82250425339717, 410.6525977931646, 336.6137707063567, 649.4180246728616, 263.82673615472976, 209.48324505172351, 83.71916279078258, 798.4952890332321, 88.16326750167215, 287.83594241919286, 266.9069771188401, 147.12355548409772, 376.07385301424074, 691.6328128597022, 80.27869194701624, 303.8087687893655, 551.2448486544869, 238.62839774843397, 352.7977363727195, 54.01622268407527, 782.0525272604198, 140.49400767220382, 607.844352482908, 468.01940328140836, 369.5928410920456, 400.98462771535634, 210.3978054984507, 591.9884981701756, 174.0408035141192, 257.3188658496792, 331.61809005316985, 912.1548591555794, 116.80108103415179, 540.3894581260572, 188.4114162684747, 447.617499739133, 150.73132170933425, 491.7076023646954, 766.2731684840593, 455.4393949649442]","[673.5153739559499, 100.47861690133502, 303.60174278879515, 1111.0, 208.9618709147984, 388.56490028282883, 376.2945618910028, 92.88237077704171, 130.7106951222992, 431.64724696028844, 0.0, 102.0, 486.4428825395515, 369.00442496043325, 85.60244489294195, 234.16903295734946, 416.94388103558583, 200.8755391481646, 639.5746115080266, 233.44943643238628, 263.29582999293353, 90.14000850293198, 795.3433962672636, 56.44776317259026, 65.55371802314984, 277.031342648125, 121.30877052181413, 355.4330023449801, 522.6650117788165, 171.1898822920425, 314.4500583383026, 489.4072750137219, 359.73435861758054, 237.08457888223563, 50.757213123307025, 355.789314071628, 68.25500371097704, 442.49024455245495, 479.86942343418673, 396.8336029206211, 459.36338421070434, 236.5984762045968, 635.637703909503, 108.43996481024617, 253.0, 446.80005797390044, 1109.1654586183163, 220.4074779555662, 614.8870193162735, 106.70543810899719, 503.5270496643677, 88.06945824052357, 556.4339171657126, 757.6795061210339, 537.4907458590988]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-06 23:59:59,"[516.0404161193775, 134.2146293751794, 376.1531499779173, 1070.0, 205.73725186732162, 242.7726740873248, 280.7698536940872, 116.32701260948932, 107.16444157091755, 417.41767528595864, 27.387989142542736, 118.2311577308853, 337.7349065344811, 277.24754535848825, 109.0600799729305, 131.2275540610494, 388.87575541171555, 433.88599664019586, 642.1448755497576, 252.97509146814252, 257.412969736002, 78.96610569623246, 796.8300534740655, 83.21360002908125, 326.83594241919286, 261.9069771188401, 144.06800716649673, 428.6031749124499, 670.6094185305323, 65.07824380344914, 301.8087687893655, 541.9265595827402, 222.3245547174589, 332.1504702058127, 69.86635495530673, 710.1662687301556, 128.88725238579104, 597.1961910218441, 468.01940328140836, 346.4513936399002, 408.6466074484758, 240.6271101699947, 601.7971349146586, 157.3703210889977, 312.3188658496792, 396.37416317046427, 932.1548591555794, 113.45438203930199, 536.3894581260572, 182.412617370707, 423.6937229663267, 128.32714500726917, 516.2658120383531, 719.9576754937405, 451.37579319883804]","[673.5153739559499, 101.47861690133502, 348.92955426882276, 1112.0, 208.9618709147984, 343.7165431544915, 375.3225103229021, 92.88237077704171, 105.72190788899263, 441.3427780058333, 0.005490714763955066, 102.0, 486.24308297823137, 362.00442496043325, 85.60244489294195, 234.16903295734946, 418.53343337263055, 296.510420532775, 639.5215123891697, 233.44943643238628, 293.09604190232733, 90.14000850293198, 809.1206349071883, 56.31951463009753, 64.55371802314984, 277.031342648125, 121.30877052181413, 374.82216749937567, 522.6416174496464, 172.1898822920425, 314.4500583383026, 439.40727501372186, 355.7403640327481, 216.08457888223563, 69.26012634957902, 355.789314071628, 68.25500371097704, 447.70296835909534, 479.32594644799474, 387.5899392298142, 461.8303461093333, 248.12261859500936, 640.6098869952024, 107.43996481024617, 248.0, 472.8000579739004, 1112.6512523533113, 220.4074779555662, 586.0120604268827, 92.67748967709791, 490.9566138949906, 88.06945824052357, 568.603804831089, 721.3643891296134, 506.75491029580434]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-07 23:59:59,"[506.04041611937737, 146.82884689463586, 461.5052881149472, 1048.0, 173.65295558680626, 259.28130294129335, 284.2051607009513, 103.17172080878973, 104.20891532643758, 410.81996345617966, 27.68118228375514, 205.38783210261738, 399.28601005292865, 272.2475453584883, 128.44586245347404, 136.07419925627454, 386.719474498591, 411.5752188373389, 647.0364970513342, 256.2801652354226, 248.87456895331678, 79.57630985956847, 839.5940528352099, 118.09161422655677, 417.83594241919286, 257.46545899307165, 159.1603134432831, 419.4556537816032, 579.2227754790881, 51.18759561703596, 306.32161032466144, 506.2496482031286, 191.87121365073384, 318.7977363727195, 66.915097026405, 661.0765012837658, 103.03369599934558, 612.722350097621, 451.6942986245416, 338.8347059998599, 377.35958290974435, 239.6271101699947, 569.5611858361892, 154.3703210889977, 312.3188658496792, 402.3404403067417, 929.5492740245043, 112.8010810341518, 526.142564387979, 184.3300441969362, 421.86807062576224, 130.32714500726917, 510.7559753111341, 694.8501522435635, 470.2841684243211]","[676.5153739559499, 106.53277186035059, 445.92955426882276, 1114.0, 211.96194870153232, 377.2939428338437, 380.305688552854, 97.12007184415572, 114.72190788899265, 453.88522283598655, 0.1196097164538974, 59.0, 465.4104716833735, 331.3272712258824, 86.54828993392634, 235.47107842587133, 428.88612066161954, 303.39790517862065, 632.9761662666499, 242.44943643238628, 286.17911442548683, 58.0, 801.1225239384479, 68.00554049383379, 114.99779655919568, 281.031342648125, 85.33797899033162, 356.1610719611249, 536.9102510667683, 182.21374459578652, 316.4500583383026, 369.57643295753786, 364.2266066776, 225.07320400451894, 71.26012634957901, 360.5323515315972, 76.25500371097702, 456.70296835909534, 481.32586866126076, 387.0072540309245, 472.14298013691973, 247.12261859500936, 642.6098869952024, 101.38697733481733, 225.0, 465.93653583612974, 1102.9770705158096, 200.62585140908297, 595.195340786572, 96.694311447146, 480.65740688554433, 92.06945824052357, 569.9863709155555, 693.2441446329896, 512.212465465651]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-08 23:59:59,"[504.0054697527396, 147.58543009440785, 412.1278988950573, 1047.0, 176.13046149265804, 441.97988535985866, 286.20516070095124, 96.34549598867345, 112.18880568291978, 440.7537500228982, 27.68118228375514, 193.78380839523683, 392.17471944389223, 347.85360688041783, 130.68927925370207, 121.38224225251835, 399.65134202242484, 445.59935631096084, 608.0598842515369, 251.915949391574, 247.97517070083995, 66.5487487954616, 788.9990464305844, 162.5812098728215, 421.83594241919286, 260.1299589016919, 125.52004950702168, 381.18653849774347, 584.9697889981594, 42.068144119769755, 310.0981437303035, 480.6081181622649, 157.28077662913594, 321.07749728594996, 66.915097026405, 561.8735006964979, 85.6215484094514, 621.722350097621, 450.5522928100696, 341.4373590203893, 435.5054812345917, 235.2784998585392, 629.3525590905142, 174.63317174592405, 280.3188658496792, 394.33093489027254, 930.3878535414425, 108.5168887700578, 514.9710462517091, 183.97061483643486, 385.91034809701733, 86.58657412501354, 513.8132845929533, 724.3128400589284, 477.52160867083785]","[663.5153739559499, 106.53277186035059, 487.92955426882276, 1095.0, 211.96194870153232, 463.44773284580685, 381.305688552854, 97.12007184415572, 115.5405503061569, 488.1424294430852, 0.1196097164538974, 60.0, 435.02071890764887, 362.4476420599787, 86.54828993392634, 235.47107842587133, 428.88612066161954, 301.76987095785614, 632.9761662666499, 242.44943643238628, 282.16466594938703, 59.0, 702.8031855560359, 73.82835615270065, 104.99779655919568, 280.83810364853247, 85.33797899033162, 360.48383401729285, 537.9336453959384, 183.21374459578652, 313.8431851515929, 370.57643295753786, 365.2266066776, 224.07320400451894, 71.26012634957901, 360.5323515315972, 76.25500371097702, 451.3011843555541, 475.10224924723036, 387.0542932990962, 461.60698894669395, 247.12261859500936, 666.7286419421876, 119.94384444455292, 226.0, 435.49031402284476, 1105.1393538015202, 200.62585140908297, 543.2480894123878, 95.69431144714599, 479.53645453125944, 92.06945824052357, 569.9863709155555, 712.5356552387626, 521.3014826850664]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-09 23:59:59,"[525.7195220200916, 148.22696041816687, 495.0084153580379, 1046.0, 172.12374643456073, 425.3334852706536, 340.7984721229845, 100.43490068014123, 110.18880568291978, 452.0785429798333, 29.156088570815236, 132.864776745489, 303.1747194438922, 377.7907292484498, 168.81498075547526, 109.28212109775346, 393.65134202242484, 469.99068148187763, 645.79293330846, 246.915949391574, 240.4121531196502, 100.6303438886394, 799.3067569186405, 164.49624357914826, 393.8887188917176, 236.13725177030568, 120.43908115676965, 354.0338405180994, 587.7011553810376, 74.01536764724503, 310.26097122634724, 522.7316798285226, 159.18266951451187, 318.07749728594996, 66.90262057596834, 526.0754760414527, 114.71965552407549, 617.7115795404289, 445.94338546247315, 333.35108048090984, 423.9181830311181, 243.2784998585392, 622.0448486024582, 151.78586972556812, 277.3188658496792, 388.1675769432145, 922.9065694485585, 105.52399565006408, 472.971046251709, 182.37730341440164, 388.28735052637086, 60.13052770712312, 524.8107038715693, 725.1779239755074, 471.6377713339605]","[664.8582514488202, 107.9241580609441, 512.8750061873341, 1094.0, 211.96194870153232, 462.4809819017088, 408.2945618910028, 108.20903586881451, 114.72190788899265, 498.66196248567087, 2.7937796135499657, 59.0, 434.02071890764887, 376.751433072896, 95.81402624046261, 235.47107842587133, 428.88612066161954, 309.51921368550074, 652.97616626665, 241.44943643238628, 279.1010411673473, 61.0, 730.3092622098848, 74.67480486409856, 121.99779655919568, 280.83810364853247, 85.33797899033162, 360.48383401729285, 542.0539476286385, 182.21374459578652, 313.49196690577566, 385.57643295753786, 364.18381997465536, 224.07320400451894, 71.26012634957901, 372.44338750693845, 76.25500371097702, 442.8342602621496, 472.2827614053881, 385.1179180811359, 436.76699293848895, 249.12261859500936, 642.2225652883387, 119.94384444455292, 225.0, 423.90679740630895, 1086.1430891873522, 200.0785957120321, 543.244354026556, 16.7054381089972, 480.0987010183511, 92.06945824052357, 571.9863709155555, 696.9109507229083, 510.65445871235835]"
