,kde200,bower
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[0.58823529411764708, 1.667448283049346, 2.9412071222110856]","[0.61764705882352944, 1.7508206972018134, 3.0882674783216397]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[0.57258064516129037, 1.4798603512062947, 2.8629330617006294]","[0.59677419354838712, 1.5430328937079707, 2.9851464586419763]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[0.53125, 1.4173310405919441, 2.6562776822468863]","[0.578125, 1.5425504195111783, 2.890956407316692]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[0.54621848739495793, 1.3548017299775936, 2.7311208991960076]","[0.62184873949579833, 1.5423896618206452, 3.1092761006231475]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[0.56000000000000005, 1.4590172476681778, 2.8000291803449535]","[0.56799999999999995, 1.4798603512062947, 2.8400295972070237]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[0.56390977443609025, 1.5632327653587619, 2.8195782562549878]","[0.5864661654135338, 1.6267792898482716, 2.9341961191105401]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[0.55303030303030298, 1.5215465582825283, 2.7651803323211794]","[0.52272727272727271, 1.4381741441300611, 2.6136636017830326]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[0.56493506493506496, 1.813350007816164, 2.8247047621754517]","[0.53896103896103897, 1.7299775936636965, 2.6948332788570402]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[0.54658385093167705, 1.8341931113542806, 2.7329477359178784]","[0.52173913043478259, 1.7510031789045808, 2.608994736567825]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[0.5625, 1.8758793184305143, 2.8125293106143503]","[0.50624999999999998, 1.6882913865874629, 2.5312763795529154]"
X: 2016-07-11 00:00:00~2016-09-08 23:59:59 -> Y: 2016-09-09 00:00:00~2016-09-15 23:59:59,"[0.57499999999999996, 1.9175655255067481, 2.875029961961336]","[0.53125, 1.7716638007399301, 2.6562776822468863]"
X: 2016-07-12 00:00:00~2016-09-09 23:59:59 -> Y: 2016-09-10 00:00:00~2016-09-16 23:59:59,"[0.56024096385542166, 1.9384086290448648, 2.8012340121781483]","[0.54819277108433739, 1.8967224219686312, 2.7409924205184035]"
X: 2016-07-13 00:00:00~2016-09-10 23:59:59 -> Y: 2016-09-11 00:00:00~2016-09-17 23:59:59,"[0.54716981132075471, 1.813350007816164, 2.7358775683963494]","[0.53459119496855345, 1.7716638007399301, 2.6729838311918352]"
X: 2016-07-14 00:00:00~2016-09-11 23:59:59 -> Y: 2016-09-12 00:00:00~2016-09-18 23:59:59,"[0.57594936708860756, 1.8967224219686312, 2.879776846873765]","[0.58227848101265822, 1.9175655255067481, 2.9114227462899605]"
X: 2016-07-15 00:00:00~2016-09-12 23:59:59 -> Y: 2016-09-13 00:00:00~2016-09-19 23:59:59,"[0.55944055944055948, 1.667448283049346, 2.7972319483965569]","[0.55944055944055948, 1.667448283049346, 2.7972319483965569]"
X: 2016-07-16 00:00:00~2016-09-13 23:59:59 -> Y: 2016-09-14 00:00:00~2016-09-20 23:59:59,"[0.58108108108108103, 1.792506904278047, 2.9054356842382476]","[0.56756756756756754, 1.7523730051110882, 2.8403835148385057]"
X: 2016-07-17 00:00:00~2016-09-14 23:59:59 -> Y: 2016-09-15 00:00:00~2016-09-21 23:59:59,"[0.56578947368421051, 1.792506904278047, 2.8289768504425044]","[0.55921052631578949, 1.7716638007399301, 2.7960817707861962]"
X: 2016-07-18 00:00:00~2016-09-15 23:59:59 -> Y: 2016-09-16 00:00:00~2016-09-22 23:59:59,"[0.56024096385542166, 1.9384086290448648, 2.8012340121781483]","[0.54216867469879515, 1.8759770713913499, 2.7110128894944028]"
X: 2016-07-19 00:00:00~2016-09-16 23:59:59 -> Y: 2016-09-17 00:00:00~2016-09-23 23:59:59,"[0.59876543209876543, 2.0217810431973322, 2.9938583608185678]","[0.5864197530864198, 1.9803012142373235, 2.9324349276752564]"
X: 2016-07-20 00:00:00~2016-09-17 23:59:59 -> Y: 2016-09-18 00:00:00~2016-09-24 23:59:59,"[0.60240963855421692, 2.0843103538116825, 3.0120795829872562]","[0.60843373493975905, 2.1051534573497994, 3.042200378817129]"
X: 2016-07-21 00:00:00~2016-09-18 23:59:59 -> Y: 2016-09-19 00:00:00~2016-09-25 23:59:59,"[0.59302325581395354, 2.1259965608879163, 2.9651471801825711]","[0.59883720930232553, 2.1473991452100494, 2.9949975636304571]"
X: 2016-07-22 00:00:00~2016-09-19 23:59:59 -> Y: 2016-09-20 00:00:00~2016-09-26 23:59:59,"[0.56647398843930641, 2.0426241467354491, 2.8323994598865139]","[0.55491329479768781, 2.0009379396592153, 2.7745953892765844]"
X: 2016-07-23 00:00:00~2016-09-20 23:59:59 -> Y: 2016-09-21 00:00:00~2016-09-27 23:59:59,"[0.56395348837209303, 2.0217810431973322, 2.8197968282128372]","[0.54651162790697672, 1.9592517325829817, 2.7325866170309965]"
X: 2016-07-24 00:00:00~2016-09-21 23:59:59 -> Y: 2016-09-22 00:00:00~2016-09-28 23:59:59,"[0.60818713450292394, 2.1676827679641497, 3.0409673637831571]","[0.56140350877192979, 2.0009379396592153, 2.8070467973382991]"
X: 2016-07-25 00:00:00~2016-09-22 23:59:59 -> Y: 2016-09-23 00:00:00~2016-09-29 23:59:59,"[0.62650602409638556, 2.1676827679641497, 3.1325627663067466]","[0.59036144578313254, 2.0461426036120685, 2.9569225854246928]"
X: 2016-07-26 00:00:00~2016-09-23 23:59:59 -> Y: 2016-09-24 00:00:00~2016-09-30 23:59:59,"[0.6211180124223602, 2.0843103538116825, 3.1056224271794068]","[0.57763975155279501, 1.9384086290448648, 2.8882288572768484]"
X: 2016-07-27 00:00:00~2016-09-24 23:59:59 -> Y: 2016-09-25 00:00:00~2016-10-01 23:59:59,"[0.61728395061728392, 2.0843103538116825, 3.0864519183696575]","[0.59259259259259256, 2.0009379396592153, 2.9629938416348711]"
X: 2016-07-28 00:00:00~2016-09-25 23:59:59 -> Y: 2016-09-26 00:00:00~2016-10-02 23:59:59,"[0.57615894039735094, 1.813350007816164, 2.8808247243378773]","[0.5629139072847682, 1.7722178785509513, 2.8154791184476005]"
X: 2016-07-29 00:00:00~2016-09-26 23:59:59 -> Y: 2016-09-27 00:00:00~2016-10-03 23:59:59,"[0.59440559440559437, 1.7716638007399301, 2.9720589451713413]","[0.57342657342657344, 1.7091344901255798, 2.8671627471064709]"
X: 2016-07-30 00:00:00~2016-09-27 23:59:59 -> Y: 2016-09-28 00:00:00~2016-10-04 23:59:59,"[0.59602649006622521, 1.8758793184305143, 2.9801635079357358]","[0.57615894039735094, 1.8134445023449715, 2.8809748454803654]"
X: 2016-07-31 00:00:00~2016-09-28 23:59:59 -> Y: 2016-09-29 00:00:00~2016-10-05 23:59:59,"[0.5714285714285714, 1.8341931113542806, 2.8571726330050544]","[0.58441558441558439, 1.8758793184305143, 2.9221083746642602]"
X: 2016-08-01 00:00:00~2016-09-29 23:59:59 -> Y: 2016-09-30 00:00:00~2016-10-06 23:59:59,"[0.55555555555555558, 1.667448283049346, 2.7778067265326918]","[0.57638888888888884, 1.7299775936636965, 2.8819744787776673]"
X: 2016-08-02 00:00:00~2016-09-30 23:59:59 -> Y: 2016-10-01 00:00:00~2016-10-07 23:59:59,"[0.5547945205479452, 1.6882913865874629, 2.7740015118388115]","[0.60273972602739723, 1.8341931113542806, 3.0137300375532763]"
X: 2016-08-03 00:00:00~2016-10-01 23:59:59 -> Y: 2016-10-02 00:00:00~2016-10-08 23:59:59,"[0.56849315068493156, 1.7299775936636965, 2.8424953763286589]","[0.56164383561643838, 1.7091344901255798, 2.808248444083735]"
X: 2016-08-04 00:00:00~2016-10-02 23:59:59 -> Y: 2016-10-03 00:00:00~2016-10-09 23:59:59,"[0.55704697986577179, 1.7299775936636965, 2.7852639257985512]","[0.55704697986577179, 1.7302480717114863, 2.7856993954554929]"
X: 2016-08-05 00:00:00~2016-10-03 23:59:59 -> Y: 2016-10-04 00:00:00~2016-10-10 23:59:59,"[0.54268292682926833, 1.8550362148923976, 2.7134429121374222]","[0.54878048780487809, 1.8758793184305143, 2.743931034745708]"
X: 2016-08-06 00:00:00~2016-10-04 23:59:59 -> Y: 2016-10-05 00:00:00~2016-10-11 23:59:59,"[0.55696202531645567, 1.8341931113542806, 2.7848391486251796]","[0.55063291139240511, 1.813350007816164, 2.7531932492089846]"
X: 2016-08-07 00:00:00~2016-10-05 23:59:59 -> Y: 2016-10-06 00:00:00~2016-10-12 23:59:59,"[0.57499999999999996, 1.9175655255067481, 2.875029961961336]","[0.5625, 1.8760748345406224, 2.8128224503621868]"
X: 2016-08-08 00:00:00~2016-10-06 23:59:59 -> Y: 2016-10-07 00:00:00~2016-10-13 23:59:59,"[0.60479041916167664, 2.1051534573497994, 3.0239836100816966]","[0.57485029940119758, 2.0017724026481782, 2.8754801297680923]"
X: 2016-08-09 00:00:00~2016-10-07 23:59:59 -> Y: 2016-10-08 00:00:00~2016-10-14 23:59:59,"[0.5714285714285714, 2.0843103538116825, 2.8571726330050544]","[0.52571428571428569, 1.9176654507556021, 2.6287357998957792]"
X: 2016-08-10 00:00:00~2016-10-08 23:59:59 -> Y: 2016-10-09 00:00:00~2016-10-15 23:59:59,"[0.55621301775147924, 1.9592517325829817, 2.7810940717711916]","[0.52071005917159763, 1.8341931113542806, 2.6035774288921796]"
X: 2016-08-11 00:00:00~2016-10-09 23:59:59 -> Y: 2016-10-10 00:00:00~2016-10-16 23:59:59,"[0.58479532163742687, 2.0843103538116825, 2.9240070805607279]","[0.51461988304093564, 1.8341931113542806, 2.5731262308934406]"
X: 2016-08-12 00:00:00~2016-10-10 23:59:59 -> Y: 2016-10-11 00:00:00~2016-10-17 23:59:59,"[0.60571428571428576, 2.2093689750403835, 3.028602990985358]","[0.52571428571428569, 1.9179652889977588, 2.6291468181581279]"
X: 2016-08-13 00:00:00~2016-10-11 23:59:59 -> Y: 2016-10-12 00:00:00~2016-10-18 23:59:59,"[0.61111111111111116, 2.0634672502735656, 3.0555873991859612]","[0.5679012345679012, 1.9175655255067481, 2.8395357649000847]"
X: 2016-08-14 00:00:00~2016-10-12 23:59:59 -> Y: 2016-10-13 00:00:00~2016-10-19 23:59:59,"[0.62962962962962965, 2.1259965608879163, 3.1481809567370509]","[0.59259259259259256, 2.0009379396592153, 2.9629938416348711]"
X: 2016-08-15 00:00:00~2016-10-13 23:59:59 -> Y: 2016-10-14 00:00:00~2016-10-20 23:59:59,"[0.59281437125748504, 2.0634672502735656, 2.9641027465157226]","[0.55688622754491013, 1.9384086290448648, 2.7844601558177997]"
X: 2016-08-16 00:00:00~2016-10-14 23:59:59 -> Y: 2016-10-15 00:00:00~2016-10-21 23:59:59,"[0.60759493670886078, 2.0009379396592153, 3.0380063439547413]","[0.58860759493670889, 1.9391159299416181, 2.9441425343904735]"
X: 2016-08-17 00:00:00~2016-10-15 23:59:59 -> Y: 2016-10-16 00:00:00~2016-10-22 23:59:59,"[0.59006211180124224, 1.9800948361210984, 2.9503413058204369]","[0.58385093167701863, 1.9592517325829817, 2.9192850815486424]"
X: 2016-08-18 00:00:00~2016-10-16 23:59:59 -> Y: 2016-10-17 00:00:00~2016-10-23 23:59:59,"[0.57692307692307687, 1.8758793184305143, 2.8846454467839489]","[0.57692307692307687, 1.8758793184305143, 2.8846454467839489]"
X: 2016-08-19 00:00:00~2016-10-17 23:59:59 -> Y: 2016-10-18 00:00:00~2016-10-24 23:59:59,"[0.58552631578947367, 1.8550362148923976, 2.9276620894114291]","[0.60526315789473684, 1.9175655255067481, 3.0263473283803535]"
X: 2016-08-20 00:00:00~2016-10-18 23:59:59 -> Y: 2016-10-19 00:00:00~2016-10-25 23:59:59,"[0.54069767441860461, 1.9384086290448648, 2.7035165466370499]","[0.54069767441860461, 1.9385096404377282, 2.7036574281663173]"
X: 2016-08-21 00:00:00~2016-10-19 23:59:59 -> Y: 2016-10-20 00:00:00~2016-10-26 23:59:59,"[0.53892215568862278, 1.8758793184305143, 2.6946388604688387]","[0.55089820359281438, 1.9175655255067481, 2.7545197240348132]"
X: 2016-08-22 00:00:00~2016-10-20 23:59:59 -> Y: 2016-10-21 00:00:00~2016-10-27 23:59:59,"[0.59393939393939399, 2.0426241467354491, 2.9697279185476781]","[0.58181818181818179, 2.0009379396592153, 2.9091212263324189]"
X: 2016-08-23 00:00:00~2016-10-21 23:59:59 -> Y: 2016-10-22 00:00:00~2016-10-28 23:59:59,"[0.57485029940119758, 2.0009379396592153, 2.8742814511667611]","[0.55089820359281438, 1.9193657747874617, 2.7571057228369109]"
X: 2016-08-24 00:00:00~2016-10-22 23:59:59 -> Y: 2016-10-23 00:00:00~2016-10-29 23:59:59,"[0.56097560975609762, 1.9175655255067481, 2.8049072799622792]","[0.56707317073170727, 1.9384086290448648, 2.8353954025705645]"
X: 2016-08-25 00:00:00~2016-10-23 23:59:59 -> Y: 2016-10-24 00:00:00~2016-10-30 23:59:59,"[0.57309941520467833, 2.0426241467354491, 2.8655269389495133]","[0.54970760233918126, 1.9592517325829817, 2.7485666557270845]"
X: 2016-08-26 00:00:00~2016-10-24 23:59:59 -> Y: 2016-10-25 00:00:00~2016-10-31 23:59:59,"[0.5714285714285714, 2.0009379396592153, 2.8571726330050544]","[0.54166666666666663, 1.896821261073476, 2.7085026923745006]"
X: 2016-08-27 00:00:00~2016-10-25 23:59:59 -> Y: 2016-10-26 00:00:00~2016-11-01 23:59:59,"[0.59493670886075944, 1.9592517325829817, 2.9747145451223509]","[0.53164556962025311, 1.7508206972018134, 2.6582555509603987]"
X: 2016-08-28 00:00:00~2016-10-26 23:59:59 -> Y: 2016-10-27 00:00:00~2016-11-02 23:59:59,"[0.57831325301204817, 2.0009379396592153, 2.8915963996677658]","[0.55421686746987953, 1.9175655255067481, 2.7711132163482759]"
X: 2016-08-29 00:00:00~2016-10-27 23:59:59 -> Y: 2016-10-28 00:00:00~2016-11-03 23:59:59,"[0.54605263157894735, 1.7299775936636965, 2.73029161147358]","[0.53289473684210531, 1.6882913865874629, 2.6645014521609638]"
X: 2016-08-30 00:00:00~2016-10-28 23:59:59 -> Y: 2016-10-29 00:00:00~2016-11-04 23:59:59,"[0.53749999999999998, 1.792506904278047, 2.6875280079203794]","[0.55000000000000004, 1.8343842826619419, 2.7503152847985826]"
X: 2016-08-31 00:00:00~2016-10-29 23:59:59 -> Y: 2016-10-30 00:00:00~2016-11-05 23:59:59,"[0.55555555555555558, 1.8758793184305143, 2.7778067265326918]","[0.57407407407407407, 1.9384086290448648, 2.8704002840837815]"
X: 2016-09-01 00:00:00~2016-10-30 23:59:59 -> Y: 2016-10-31 00:00:00~2016-11-06 23:59:59,"[0.55757575757575761, 1.9175655255067481, 2.7879078419019017]","[0.5636363636363636, 1.9391159299416181, 2.8192395177799683]"
X: 2016-09-02 00:00:00~2016-10-31 23:59:59 -> Y: 2016-11-01 00:00:00~2016-11-07 23:59:59,"[0.55844155844155841, 1.792506904278047, 2.7922368913458486]","[0.57792207792207795, 1.8558098316217486, 2.8908455877126054]"
X: 2016-09-03 00:00:00~2016-11-01 23:59:59 -> Y: 2016-11-02 00:00:00~2016-11-08 23:59:59,"[0.58940397350993379, 1.8550362148923976, 2.9470505800697828]","[0.56953642384105962, 1.7949386903208977, 2.8515751153713915]"
X: 2016-09-04 00:00:00~2016-11-02 23:59:59 -> Y: 2016-11-03 00:00:00~2016-11-09 23:59:59,"[0.55263157894736847, 1.7508206972018134, 2.7631866911298886]","[0.52631578947368418, 1.6679697680479542, 2.632429392480419]"
X: 2016-09-05 00:00:00~2016-11-03 23:59:59 -> Y: 2016-11-04 00:00:00~2016-11-10 23:59:59,"[0.61445783132530118, 2.1259965608879163, 3.0723211746470014]","[0.57228915662650603, 1.9800948361210984, 2.8614756038378935]"
X: 2016-09-06 00:00:00~2016-11-04 23:59:59 -> Y: 2016-11-05 00:00:00~2016-11-11 23:59:59,"[0.60897435897435892, 1.9800948361210984, 3.0449035271608351]","[0.58333333333333337, 1.8967224219686312, 2.9166970628593267]"
X: 2016-09-07 00:00:00~2016-11-05 23:59:59 -> Y: 2016-11-06 00:00:00~2016-11-12 23:59:59,"[0.65161290322580645, 2.1051534573497994, 3.2580984702170541]","[0.63225806451612898, 2.0426241467354491, 3.1613232681313987]"
X: 2016-09-08 00:00:00~2016-11-06 23:59:59 -> Y: 2016-11-07 00:00:00~2016-11-13 23:59:59,"[0.62585034013605445, 1.9175655255067481, 3.1292843123388692]","[0.59863945578231292, 1.8341931113542806, 2.9932284726719618]"
X: 2016-09-09 00:00:00~2016-11-07 23:59:59 -> Y: 2016-11-08 00:00:00~2016-11-14 23:59:59,"[0.6143790849673203, 1.9592517325829817, 3.0719274387538005]","[0.60130718954248363, 1.9206680584551148, 3.0114317682535781]"
X: 2016-09-10 00:00:00~2016-11-08 23:59:59 -> Y: 2016-11-09 00:00:00~2016-11-15 23:59:59,"[0.58940397350993379, 1.8550362148923976, 2.9470505800697828]","[0.57615894039735094, 1.813350007816164, 2.8808247243378773]"
X: 2016-09-11 00:00:00~2016-11-09 23:59:59 -> Y: 2016-11-10 00:00:00~2016-11-16 23:59:59,"[0.63380281690140849, 1.8758793184305143, 3.1690471105513809]","[0.63380281690140849, 1.8758793184305143, 3.1690471105513809]"
